step,label,prune_ratio,sparsity_after_prune,finetune_epochs_run,best_test_acc,final_test_acc
-1,initial_training,0.0,0.0,160,66.58,66.58
0,one-shot,0.6386,0.6386,200,66.48,66.48
1,iter-1,0.2000,0.7109,10,65.47,65.47
2,iter-2,0.2000,0.7687,10,65.04,65.05
3,iter-3,0.2000,0.8150,10,64.52,64.52
4,iter-4,0.2000,0.8520,10,63.00,62.99
5,iter-5,0.2000,0.8816,10,61.72,61.72
6,iter-6,0.1752,0.9000,0,61.35,61.35
