phase,epoch,train_loss,train_acc,test_loss,test_acc
dense_training,1,1.7224,35.30,1.5152,44.65
dense_training,2,1.2554,55.00,1.1870,58.25
dense_training,3,1.0057,64.21,1.0091,64.49
dense_training,4,0.8461,70.22,0.9874,66.43
dense_training,5,0.7625,73.49,0.9631,68.87
dense_training,6,0.7006,75.76,1.0215,67.14
dense_training,7,0.6671,76.94,0.7771,73.68
dense_training,8,0.6373,78.00,1.4483,59.64
dense_training,9,0.6140,78.91,0.7489,74.26
dense_training,10,0.5956,79.52,0.6762,77.42
dense_training,11,0.5775,80.12,0.6839,76.58
dense_training,12,0.5661,80.38,0.7485,75.20
dense_training,13,0.5582,80.87,1.1105,69.33
dense_training,14,0.5419,81.30,0.6085,79.66
dense_training,15,0.5317,81.86,0.6944,77.22
dense_training,16,0.5302,81.89,0.6400,78.14
dense_training,17,0.5235,81.96,1.1844,67.94
dense_training,18,0.5148,82.38,1.2578,64.76
dense_training,19,0.5051,82.84,0.7619,73.37
dense_training,20,0.5074,82.51,0.5873,79.95
dense_training,21,0.4959,83.03,0.7822,76.02
dense_training,22,0.4957,82.90,0.8081,73.95
dense_training,23,0.4927,82.96,0.9017,72.79
dense_training,24,0.4883,83.20,0.7020,76.67
dense_training,25,0.4826,83.26,0.9060,73.68
dense_training,26,0.4849,83.41,0.8485,72.68
dense_training,27,0.4795,83.46,0.8732,72.35
dense_training,28,0.4752,83.82,0.5831,80.59
dense_training,29,0.4743,83.72,1.0249,69.19
dense_training,30,0.4755,83.69,0.5733,81.10
dense_training,31,0.4699,83.86,0.6168,79.50
dense_training,32,0.4662,84.07,1.1607,66.13
dense_training,33,0.4704,83.76,0.5939,80.57
dense_training,34,0.4662,83.96,0.8311,71.77
dense_training,35,0.4624,83.95,0.5599,81.20
dense_training,36,0.4626,83.98,0.6978,77.08
dense_training,37,0.4597,84.25,0.6822,78.13
dense_training,38,0.4532,84.38,0.6362,78.52
dense_training,39,0.4581,84.24,0.6531,77.93
dense_training,40,0.4532,84.45,0.5525,81.52
dense_training,41,0.4553,84.36,0.6137,79.59
dense_training,42,0.4490,84.91,0.5896,80.84
dense_training,43,0.4522,84.52,0.6701,77.12
dense_training,44,0.4504,84.66,0.5306,82.20
dense_training,45,0.4475,84.71,0.7045,78.42
dense_training,46,0.4475,84.70,0.7097,76.27
dense_training,47,0.4403,84.84,0.7088,76.59
dense_training,48,0.4522,84.42,0.6132,79.10
dense_training,49,0.4361,84.98,0.5913,80.87
dense_training,50,0.4439,84.71,0.7703,75.91
dense_training,51,0.4451,84.71,0.7866,73.64
dense_training,52,0.4364,84.91,0.6411,79.06
dense_training,53,0.4390,85.05,0.7465,74.36
dense_training,54,0.4317,85.20,0.6051,81.01
dense_training,55,0.4467,84.67,0.7354,77.38
dense_training,56,0.4389,85.07,0.7308,75.93
