phase,epoch,train_loss,train_acc,test_loss,test_acc
initial_training,1,2.6414,13.29,2.1133,19.34
initial_training,2,2.0168,22.92,1.9319,26.99
initial_training,3,1.8319,30.67,1.7577,33.40
initial_training,4,1.7121,35.30,1.7165,35.99
initial_training,5,1.5661,42.09,1.5361,43.94
initial_training,6,1.4087,48.29,1.3199,52.32
initial_training,7,1.2664,54.50,1.1877,56.80
initial_training,8,1.1276,59.78,1.6436,48.00
initial_training,9,1.0058,64.32,1.0418,63.38
initial_training,10,0.9096,67.88,0.9494,67.32
initial_training,11,0.8554,69.85,1.3860,56.17
initial_training,12,0.7979,71.94,0.9629,66.18
initial_training,13,0.7237,74.63,1.0012,67.07
initial_training,14,0.6676,76.76,0.9888,67.26
initial_training,15,0.6314,78.11,0.6871,76.46
initial_training,16,0.5892,79.30,0.8670,71.76
initial_training,17,0.5496,81.14,0.6806,77.47
initial_training,18,0.5322,81.54,0.7064,76.60
initial_training,19,0.5069,82.33,0.6636,78.04
initial_training,20,0.4880,82.97,0.6218,79.37
initial_training,21,0.4692,83.76,0.6667,78.16
initial_training,22,0.4524,84.29,0.7628,76.10
initial_training,23,0.4437,84.64,0.7408,76.38
initial_training,24,0.4286,85.23,0.7427,76.34
initial_training,25,0.4123,85.82,0.5248,82.87
initial_training,26,0.4047,86.00,0.6823,77.71
initial_training,27,0.3946,86.30,0.6451,79.89
initial_training,28,0.3862,86.64,0.5267,82.66
initial_training,29,0.3796,86.92,0.5998,80.19
initial_training,30,0.3653,87.31,0.5965,80.96
initial_training,31,0.3656,87.31,0.5861,80.74
initial_training,32,0.3545,87.62,0.6997,78.56
initial_training,33,0.3418,88.11,0.6726,79.09
initial_training,34,0.3410,88.28,0.6353,79.51
initial_training,35,0.3394,88.27,0.4779,83.78
initial_training,36,0.3197,88.76,0.5039,83.42
initial_training,37,0.3214,88.72,0.5928,81.33
initial_training,38,0.3118,89.22,0.5803,81.89
initial_training,39,0.3146,89.01,0.5838,81.67
initial_training,40,0.3034,89.44,0.7286,77.77
initial_training,41,0.2961,89.70,0.5790,81.50
initial_training,42,0.2967,89.79,0.4315,85.57
initial_training,43,0.2909,89.96,0.5319,82.83
initial_training,44,0.2810,90.23,0.4897,84.09
initial_training,45,0.2814,90.26,0.5506,82.58
initial_training,46,0.2791,90.22,0.4746,85.06
initial_training,47,0.2805,90.30,0.4993,84.07
initial_training,48,0.2710,90.47,0.7119,77.64
initial_training,49,0.2687,90.72,0.4770,85.04
initial_training,50,0.2642,90.94,0.6284,80.27
initial_training,51,0.2623,90.86,0.5373,83.04
initial_training,52,0.2519,91.30,0.4313,86.03
initial_training,53,0.2479,91.31,0.5682,82.06
initial_training,54,0.2437,91.53,0.4607,85.20
initial_training,55,0.2431,91.34,0.4533,85.38
initial_training,56,0.2367,91.68,0.4419,85.51
initial_training,57,0.2340,91.82,0.5565,83.27
initial_training,58,0.2346,91.79,0.4573,85.48
initial_training,59,0.2354,91.77,0.5299,83.61
initial_training,60,0.2293,92.06,0.5521,83.54
initial_training,61,0.2270,92.10,0.5057,83.97
initial_training,62,0.2219,92.33,0.5481,83.30
initial_training,63,0.2155,92.59,0.4645,85.38
initial_training,64,0.2154,92.45,0.4685,85.22
initial_training,65,0.2142,92.56,0.4676,85.15
initial_training,66,0.2059,92.73,0.5227,83.74
initial_training,67,0.2015,93.08,0.4173,86.61
initial_training,68,0.1982,93.14,0.4002,86.88
initial_training,69,0.1938,93.24,0.4702,85.26
initial_training,70,0.1909,93.41,0.4018,87.43
initial_training,71,0.1947,93.23,0.4778,85.21
initial_training,72,0.1857,93.51,0.4461,85.75
initial_training,73,0.1774,93.93,0.4506,86.17
initial_training,74,0.1784,93.78,0.4462,86.31
initial_training,75,0.1717,94.12,0.4638,85.79
initial_training,76,0.1736,93.99,0.4302,87.54
initial_training,77,0.1678,94.22,0.4407,86.44
initial_training,78,0.1640,94.41,0.3904,87.69
initial_training,79,0.1564,94.59,0.4168,87.12
initial_training,80,0.1552,94.66,0.5493,84.32
initial_training,81,0.1490,94.85,0.5119,84.83
initial_training,82,0.1492,94.85,0.4250,87.14
initial_training,83,0.1465,94.96,0.4093,87.88
initial_training,84,0.1414,95.21,0.3909,87.73
initial_training,85,0.1382,95.19,0.4097,87.98
initial_training,86,0.1377,95.26,0.4765,86.04
initial_training,87,0.1283,95.68,0.5256,85.09
initial_training,88,0.1285,95.57,0.4102,87.70
initial_training,89,0.1246,95.73,0.4471,87.00
initial_training,90,0.1254,95.69,0.3891,88.12
initial_training,91,0.1250,95.77,0.3749,88.16
initial_training,92,0.1152,96.04,0.4672,86.13
initial_training,93,0.1075,96.32,0.4024,87.66
initial_training,94,0.1037,96.51,0.4001,88.19
initial_training,95,0.1066,96.34,0.4944,85.76
initial_training,96,0.1011,96.40,0.3861,88.42
initial_training,97,0.0984,96.63,0.3841,88.23
initial_training,98,0.0921,96.94,0.3579,89.39
initial_training,99,0.0861,97.16,0.4164,87.99
initial_training,100,0.0832,97.27,0.3704,89.45
initial_training,101,0.0824,97.24,0.3703,88.98
initial_training,102,0.0781,97.51,0.3763,88.88
initial_training,103,0.0722,97.64,0.3661,89.57
initial_training,104,0.0715,97.69,0.3859,88.91
initial_training,105,0.0663,97.86,0.3917,88.72
initial_training,106,0.0622,98.00,0.3762,89.02
initial_training,107,0.0587,98.18,0.3740,89.26
initial_training,108,0.0572,98.24,0.3965,89.11
initial_training,109,0.0511,98.43,0.3190,90.67
initial_training,110,0.0507,98.46,0.3842,89.39
initial_training,111,0.0469,98.65,0.3379,90.58
initial_training,112,0.0446,98.72,0.3656,89.92
initial_training,113,0.0435,98.77,0.3401,90.67
initial_training,114,0.0414,98.80,0.3331,90.46
initial_training,115,0.0393,98.86,0.3477,90.26
initial_training,116,0.0324,99.13,0.3087,91.37
initial_training,117,0.0303,99.21,0.3204,91.09
initial_training,118,0.0297,99.22,0.3103,91.40
initial_training,119,0.0269,99.28,0.2995,91.75
initial_training,120,0.0236,99.48,0.3145,91.43
initial_training,121,0.0237,99.44,0.3169,91.15
initial_training,122,0.0227,99.49,0.3062,91.52
initial_training,123,0.0197,99.59,0.2971,91.85
initial_training,124,0.0174,99.66,0.3008,91.63
initial_training,125,0.0172,99.71,0.3049,91.81
initial_training,126,0.0161,99.72,0.3057,91.60
initial_training,127,0.0151,99.74,0.3071,91.36
initial_training,128,0.0146,99.72,0.3020,91.69
initial_training,129,0.0129,99.80,0.2993,91.66
initial_training,130,0.0121,99.83,0.2998,91.67
