iteration,sparsity,remaining_weights,test_accuracy,test_loss,train_accuracy,train_loss
0,0.0000,1.0000,91.89,0.2827,99.03,0.0379
1,0.1675,0.8325,91.67,0.2912,98.93,0.0420
2,0.3069,0.6931,91.78,0.2941,98.52,0.0521
3,0.4229,0.5771,90.94,0.3018,98.22,0.0630
4,0.5196,0.4804,90.82,0.2944,97.74,0.0755
5,0.6000,0.4000,90.91,0.2924,97.16,0.0900
