iteration,sparsity,remaining_weights,test_accuracy,test_loss,train_accuracy,train_loss
0,0.0000,1.0000,67.88,1.2037,85.38,0.5119
1,0.0689,0.9311,67.19,1.1911,85.04,0.5227
2,0.1330,0.8670,67.23,1.1923,84.44,0.5442
3,0.1927,0.8073,66.94,1.2266,83.67,0.5669
4,0.2483,0.7517,66.97,1.2121,83.27,0.5829
5,0.3000,0.7000,66.23,1.2285,82.15,0.6175
