phase,epoch,train_loss,train_acc,test_loss,test_acc
search,1,1.8212,30.95,1.7441,33.76
search,2,1.4664,45.45,1.6091,43.22
search,3,1.2077,56.15,1.5478,48.82
search,4,1.0214,63.47,1.1640,61.29
search,5,0.8828,68.89,1.0187,65.80
search,6,0.7734,72.82,0.8012,72.46
search,7,0.6984,75.60,0.8792,69.64
search,8,0.6404,77.87,0.7377,75.78
search,9,0.5899,79.62,0.7352,75.03
search,10,0.5581,80.70,0.6915,77.24
search,11,0.5248,81.80,0.6607,78.38
search,12,0.4992,82.72,0.5815,80.63
search,13,0.4780,83.45,0.7776,74.82
search,14,0.4569,84.16,0.5876,80.31
search,15,0.4376,84.90,0.5772,80.96
search,16,0.4279,85.23,0.5875,80.30
search,17,0.4118,85.75,0.5566,81.60
search,18,0.3957,86.32,0.6696,79.50
search,19,0.3888,86.44,0.6263,79.10
search,20,0.3814,86.56,0.5687,82.64
search,21,0.3675,87.25,0.5186,83.23
search,22,0.3594,87.48,0.4744,84.03
search,23,0.3528,87.67,0.5872,81.03
search,24,0.3397,88.31,0.7413,78.24
search,25,0.3336,88.31,0.7118,78.89
search,26,0.3273,88.58,0.5320,82.28
search,27,0.3214,88.84,0.5926,81.90
search,28,0.3185,88.77,0.6997,80.06
search,29,0.3119,89.08,0.4861,84.13
search,30,0.3058,89.28,0.7436,78.52
search,31,0.3005,89.63,0.6009,81.64
search,32,0.3007,89.54,0.4987,84.45
search,33,0.2909,89.88,0.7118,79.57
search,34,0.2892,89.80,0.5560,82.95
search,35,0.2828,90.28,0.4836,84.20
search,36,0.2751,90.40,0.4746,84.73
search,37,0.2762,90.20,0.5072,84.67
search,38,0.2695,90.68,0.4751,85.13
search,39,0.2669,90.65,0.4925,84.42
search,40,0.2604,90.76,0.4371,86.29
search,41,0.2594,90.86,0.4492,85.64
search,42,0.2602,90.88,0.6053,82.77
search,43,0.2496,91.21,0.4627,85.24
search,44,0.2484,91.15,0.6161,82.03
search,45,0.2468,91.46,0.4867,85.00
search,46,0.2425,91.44,0.4700,85.88
search,47,0.2418,91.52,0.5285,84.45
search,48,0.2339,91.79,0.5534,84.44
search,49,0.2375,91.80,0.4841,84.84
search,50,0.2344,91.74,0.5186,84.22
search,51,0.2322,91.73,0.4827,85.45
search,52,0.2318,91.80,0.4285,87.03
search,53,0.2239,92.10,0.5237,84.64
search,54,0.2197,92.27,0.5511,84.05
search,55,0.2218,92.22,0.4890,85.21
search,56,0.2178,92.31,0.4389,86.72
search,57,0.2104,92.61,0.4690,85.67
search,58,0.2131,92.49,0.5883,82.57
search,59,0.2208,92.29,0.5799,83.82
search,60,0.2110,92.53,0.4674,85.98
search,61,0.2062,92.76,0.4854,85.48
search,62,0.2159,92.36,0.4718,86.43
search,63,0.2065,92.83,0.5510,84.37
search,64,0.2026,92.87,0.4930,86.15
search,65,0.2010,92.76,0.4825,85.43
search,66,0.2055,92.72,0.5323,84.18
search,67,0.1990,93.00,0.5412,84.11
search,68,0.1985,92.97,0.5023,85.80
search,69,0.1930,93.22,0.5028,85.43
search,70,0.1978,92.95,0.4988,84.79
search,71,0.1913,93.29,0.4976,84.94
search,72,0.1989,93.02,0.4036,87.38
search,73,0.1883,93.37,0.4508,86.49
search,74,0.1912,93.19,0.5104,84.63
search,75,0.1835,93.33,0.5295,85.24
search,76,0.1876,93.27,0.6338,82.68
search,77,0.1883,93.37,0.5918,83.49
search,78,0.1824,93.52,0.5505,84.44
search,79,0.1887,93.37,0.5349,85.12
search,80,0.1763,93.86,0.4588,86.37
search,81,0.1174,95.90,0.3356,89.93
