epoch,train_loss,train_acc,test_loss,test_acc
1,4.0017,8.59,3.6970,12.56
2,3.3813,17.30,3.3796,19.48
3,2.9715,25.08,2.9393,25.43
4,2.6821,30.41,2.7697,31.03
5,2.4558,34.97,2.5791,33.19
6,2.2914,38.65,2.6001,35.21
7,2.1535,41.95,2.4677,37.84
8,2.0496,44.13,2.2529,40.88
9,1.9529,46.48,2.3003,40.64
10,1.8767,48.19,2.1793,43.59
11,1.8139,49.92,2.2684,42.18
12,1.7567,50.92,1.9725,47.38
13,1.7148,52.10,1.9724,47.50
14,1.6749,53.18,2.1321,44.86
15,1.6308,54.31,1.9732,48.92
16,1.5936,55.02,1.9229,48.71
17,1.5718,55.66,1.8879,50.46
18,1.5433,56.24,1.8794,50.56
19,1.5256,56.77,2.0311,48.12
20,1.5002,57.51,2.0033,48.54
21,1.4717,58.03,1.7772,52.49
22,1.4513,58.81,2.0373,48.77
23,1.4416,58.77,1.9470,49.52
24,1.4161,59.45,1.7811,53.09
25,1.4024,60.00,1.8595,52.79
26,1.3924,60.29,1.9127,51.32
27,1.3857,60.14,1.9132,51.47
28,1.3589,60.60,1.8237,51.44
29,1.3475,61.19,1.7987,52.48
30,1.3271,61.72,1.7941,52.61
31,1.3250,61.57,1.6821,54.94
32,1.3153,62.21,1.7873,53.52
33,1.3050,62.25,1.9710,50.78
34,1.2907,62.49,1.7443,54.37
35,1.2795,62.94,1.6940,55.35
36,1.2814,63.05,1.7262,53.81
37,1.2658,63.24,1.7869,54.02
38,1.2692,63.17,1.9915,50.61
39,1.2497,63.46,1.7176,55.21
40,1.2434,63.80,1.8549,52.68
41,1.2412,64.01,1.7060,54.82
42,1.2253,64.41,1.6923,55.05
43,1.2259,64.17,1.8123,53.03
44,1.2163,64.62,1.6591,55.63
45,1.2100,64.67,1.6466,55.86
46,1.2043,64.78,1.7409,54.43
47,1.2047,64.97,1.7392,54.20
48,1.1950,65.00,1.6154,57.65
49,1.1900,64.88,1.6111,57.29
50,1.1811,65.59,1.6697,56.13
51,1.1819,65.40,1.7475,53.93
52,1.1771,65.60,1.8615,53.17
53,1.1754,65.66,1.7451,54.72
54,1.1623,65.78,1.7332,54.67
55,1.1705,65.73,1.6227,56.71
56,1.1585,65.92,1.8588,53.66
57,1.1590,65.72,1.6505,56.34
58,1.1469,66.30,1.7850,54.64
59,1.1456,66.40,1.6778,56.39
60,1.1476,65.97,1.7401,55.36
61,1.1452,66.35,1.8284,54.15
62,1.1400,66.25,1.8614,52.03
63,1.1362,66.50,1.7549,55.24
64,1.1294,66.62,1.8713,54.20
65,1.1280,66.82,1.8940,52.52
66,1.1206,66.99,1.9530,52.04
67,1.1240,66.96,1.6404,56.89
68,1.1236,66.78,1.6771,57.36
69,1.1073,67.45,1.6088,57.20
70,1.1134,66.94,1.8096,54.24
71,1.1140,67.30,1.6898,56.14
72,1.1089,67.25,1.7675,55.27
73,1.0983,67.62,1.7739,54.40
74,1.1054,67.40,1.6991,55.84
75,1.1013,67.55,1.8016,55.23
76,1.0974,67.52,1.9075,53.40
77,1.0959,67.54,1.8312,55.35
78,1.0934,67.60,1.7202,55.70
79,1.0865,67.60,1.6656,57.63
80,1.0908,67.80,1.7210,55.49
81,0.8396,75.42,1.2758,64.97
82,0.7612,77.43,1.2791,65.41
83,0.7372,78.21,1.2721,65.61
84,0.7145,78.59,1.2737,65.28
85,0.7060,78.97,1.2733,65.48
86,0.6964,79.03,1.2830,65.75
87,0.6873,79.30,1.2974,65.58
88,0.6743,79.67,1.3018,65.63
89,0.6667,79.77,1.3038,65.58
90,0.6612,80.03,1.2968,65.88
91,0.6550,80.26,1.3133,65.48
92,0.6495,80.31,1.3129,65.46
93,0.6419,80.61,1.3141,65.81
94,0.6409,80.59,1.3382,65.20
95,0.6369,80.66,1.3261,65.65
96,0.6341,80.68,1.3312,65.57
97,0.6264,80.89,1.3368,65.45
98,0.6242,81.00,1.3498,65.12
99,0.6176,81.18,1.3499,65.61
100,0.6160,81.02,1.3531,65.49
101,0.6116,81.20,1.3591,65.34
102,0.6140,81.16,1.3500,65.90
103,0.6076,81.37,1.3581,65.43
104,0.6041,81.41,1.3746,65.29
105,0.5985,81.74,1.3603,65.32
106,0.5937,81.63,1.3474,65.57
107,0.5948,81.89,1.3754,65.39
108,0.5933,81.81,1.3750,65.79
109,0.5878,82.06,1.3797,65.31
110,0.5792,82.11,1.3906,65.03
111,0.5837,81.93,1.4138,65.28
112,0.5783,82.06,1.3865,65.41
113,0.5743,82.09,1.4042,64.97
114,0.5766,82.05,1.3940,65.29
115,0.5717,82.31,1.4247,65.17
116,0.5704,82.33,1.4150,65.42
117,0.5656,82.56,1.4234,65.03
118,0.5683,82.28,1.4197,64.64
119,0.5665,82.35,1.4166,64.73
120,0.5631,82.47,1.4234,65.05
121,0.5244,83.91,1.3864,65.52
122,0.5092,84.43,1.3831,65.83
123,0.5034,84.52,1.3877,65.59
124,0.4989,84.45,1.3789,65.91
125,0.5032,84.64,1.3849,65.86
126,0.4976,84.64,1.3837,65.89
127,0.5024,84.62,1.3798,65.99
128,0.4984,84.68,1.3814,65.89
129,0.4960,84.71,1.3825,65.87
130,0.4977,84.75,1.3870,65.87
131,0.4938,85.00,1.3840,65.86
132,0.4972,84.67,1.3890,65.67
133,0.4905,84.92,1.3845,65.77
134,0.4920,84.89,1.3906,65.92
135,0.4874,85.03,1.3871,65.91
136,0.4929,84.60,1.3909,65.71
137,0.4876,85.11,1.3883,66.00
138,0.4903,84.75,1.3962,65.82
139,0.4890,85.10,1.3944,65.65
140,0.4873,84.97,1.3906,65.96
141,0.4910,85.02,1.3934,65.75
142,0.4846,85.19,1.4006,65.88
143,0.4898,84.98,1.3968,65.90
144,0.4891,85.03,1.3944,65.92
145,0.4865,84.94,1.4041,65.91
146,0.4872,85.16,1.4008,65.81
147,0.4844,85.31,1.4048,65.80
148,0.4823,85.18,1.3951,65.69
149,0.4882,85.14,1.4030,65.89
150,0.4824,85.12,1.4005,65.73
151,0.4795,85.40,1.3956,65.98
152,0.4764,85.38,1.4078,65.75
153,0.4789,85.10,1.4140,65.60
154,0.4804,85.17,1.4098,65.66
155,0.4784,85.20,1.4080,65.90
156,0.4788,85.33,1.4064,65.79
157,0.4777,85.32,1.4099,65.58
158,0.4776,85.26,1.4104,65.75
159,0.4779,85.40,1.4068,65.59
160,0.4760,85.26,1.4111,65.83
