epoch,train_loss,train_acc,test_loss,test_acc,mask_distance,lr
0,4.0634,6.78,3.9391,8.67,-1.0000,0.100000
1,3.5994,13.58,3.4969,15.96,0.1837,0.100000
2,3.2486,20.28,3.3247,19.89,0.1735,0.100000
3,2.9324,26.08,3.1641,24.57,0.0944,0.100000
4,2.6549,31.44,2.7891,31.76,0.0842,0.100000
5,2.4387,35.79,2.7961,31.83,0.0791,0.100000
6,2.2656,39.93,2.4300,38.41,0.0944,0.100000
7,2.1262,42.59,2.3523,39.44,0.0816,0.100000
