phase,epoch,train_loss,train_acc,test_loss,test_acc
search,1,4.0398,7.21,3.8139,10.19
search,2,3.5781,14.06,3.4880,16.79
search,3,3.2453,20.09,3.2157,20.77
search,4,2.9007,26.56,3.0314,25.91
search,5,2.6220,32.02,2.7327,32.17
search,6,2.4111,36.19,2.5170,35.16
search,7,2.2257,40.40,2.6621,34.98
search,8,2.0922,43.15,2.4023,37.81
search,9,1.9806,45.60,2.2266,41.44
search,10,1.8917,47.87,2.0327,45.38
search,11,1.8129,49.98,2.1177,43.92
search,12,1.7431,51.47,2.1278,45.38
search,13,1.6830,52.55,2.0458,46.10
search,14,1.6351,53.64,1.8899,49.50
search,15,1.5854,55.12,1.9797,47.66
search,16,1.5452,55.98,1.9265,48.61
search,17,1.5080,57.34,2.0118,48.14
search,18,1.4838,57.94,1.9353,48.80
search,19,1.4442,58.86,1.9938,49.23
search,20,1.4139,59.48,1.9377,50.37
search,21,1.3808,60.34,2.1196,48.59
search,22,1.3627,60.96,1.8118,51.55
search,23,1.3351,61.62,2.0240,49.21
search,24,1.3252,61.62,1.9431,50.81
search,25,1.3050,62.46,1.7117,54.67
search,26,1.2876,62.77,1.7934,53.54
search,27,1.2529,63.64,1.7312,53.53
search,28,1.2492,63.42,1.9616,49.91
search,29,1.2319,64.09,1.8766,52.22
search,30,1.2117,64.68,1.8115,53.44
search,31,1.1965,65.08,1.8959,51.85
search,32,1.1845,65.41,2.3075,49.02
search,33,1.1754,65.68,1.7090,55.37
search,34,1.1554,66.02,1.9588,52.06
search,35,1.1406,66.50,1.7895,53.87
search,36,1.1499,65.94,1.9096,51.53
search,37,1.1224,66.78,1.8684,52.68
search,38,1.1057,67.56,1.7910,55.09
search,39,1.1094,67.28,1.7765,54.81
search,40,1.0889,67.83,1.7122,55.41
search,41,1.0856,68.05,1.9091,52.14
search,42,1.0801,68.14,1.6995,56.08
search,43,1.0598,68.60,1.8688,52.95
search,44,1.0632,68.51,1.7164,55.45
search,45,1.0516,68.87,1.7377,55.56
search,46,1.0474,68.95,1.8945,53.24
search,47,1.0289,69.52,1.7567,55.68
search,48,1.0253,69.47,1.7955,54.50
search,49,1.0235,69.45,1.9318,54.57
search,50,1.0174,69.59,1.7787,54.00
search,51,1.0092,70.09,1.9511,54.00
search,52,1.0026,70.09,1.6564,56.43
search,53,0.9862,70.38,1.7500,56.39
search,54,0.9809,70.54,1.8067,55.35
search,55,0.9869,70.23,1.6721,57.88
search,56,0.9760,70.81,1.8426,54.44
search,57,0.9640,71.06,1.7864,56.19
search,58,0.9548,71.35,1.8219,55.42
search,59,0.9559,71.28,1.6676,57.39
search,60,0.9553,70.97,1.8017,56.19
search,61,0.9446,71.68,1.6809,56.95
search,62,0.9411,71.67,1.7536,56.14
search,63,0.9423,71.44,1.8709,54.69
search,64,0.9327,71.79,1.8126,56.82
search,65,0.9318,71.79,2.0310,52.77
search,66,0.9195,72.01,1.8176,56.01
search,67,0.9192,72.50,1.7316,57.51
search,68,0.9193,72.12,1.9832,53.12
search,69,0.9003,72.76,1.8299,55.43
search,70,0.8999,72.72,1.6665,57.59
search,71,0.9099,72.41,1.6768,57.36
search,72,0.8999,72.66,1.8337,55.13
search,73,0.8843,73.27,1.9288,54.62
search,74,0.8934,72.87,1.7976,56.25
search,75,0.8869,73.16,1.7805,56.39
search,76,0.8908,72.89,1.7039,58.24
search,77,0.8745,73.31,1.7942,55.23
search,78,0.8808,73.38,1.6213,59.01
search,79,0.8733,73.49,1.6428,58.58
search,80,0.8748,73.45,1.8975,55.12
search,81,0.6633,80.07,1.3445,64.42
search,82,0.5981,82.18,1.3409,65.28
search,83,0.5793,82.72,1.3359,65.64
search,84,0.5617,83.42,1.3430,65.34
search,85,0.5510,83.65,1.3687,64.86
search,86,0.5436,83.48,1.3582,65.27
search,87,0.5333,83.91,1.3716,65.11
search,88,0.5241,84.12,1.3691,65.14
search,89,0.5191,84.46,1.3788,65.18
search,90,0.5148,84.28,1.3785,65.29
search,91,0.5086,84.57,1.3933,64.85
search,92,0.5099,84.46,1.3972,64.87
search,93,0.5029,84.87,1.4087,65.10
search,94,0.4983,84.77,1.4094,65.04
search,95,0.4948,84.95,1.4054,64.79
search,96,0.4881,85.25,1.4249,64.76
search,97,0.4846,85.27,1.4418,64.78
search,98,0.4785,85.52,1.4207,64.92
search,99,0.4793,85.18,1.4404,65.15
search,100,0.4734,85.42,1.4583,64.76
search,101,0.4729,85.48,1.4517,64.79
search,102,0.4692,85.79,1.4591,64.90
search,103,0.4625,85.79,1.4525,64.93
search,104,0.4609,86.12,1.4684,64.44
search,105,0.4621,85.69,1.4587,64.82
search,106,0.4580,86.04,1.4663,64.69
search,107,0.4550,85.95,1.4846,64.78
search,108,0.4526,86.07,1.4771,64.78
search,109,0.4503,86.30,1.4969,64.91
search,110,0.4461,86.25,1.4892,64.74
search,111,0.4449,86.34,1.4917,64.51
search,112,0.4430,86.34,1.5270,64.64
search,113,0.4400,86.47,1.5166,64.49
search,114,0.4387,86.38,1.5251,64.39
search,115,0.4330,86.65,1.5102,63.99
search,116,0.4354,86.59,1.5256,64.22
search,117,0.4322,86.70,1.5208,64.57
search,118,0.4286,86.96,1.5405,64.65
search,119,0.4275,86.80,1.5268,64.13
search,120,0.4249,86.94,1.5279,64.60
search,121,0.4017,87.59,1.5051,64.69
search,122,0.3963,88.01,1.5026,64.95
search,123,0.3893,88.04,1.5044,64.79
search,124,0.3929,87.98,1.5042,64.75
search,125,0.3879,88.26,1.5071,64.74
search,126,0.3913,88.07,1.5013,64.69
search,127,0.3923,87.99,1.5098,64.59
search,128,0.3868,88.23,1.5121,64.63
search,129,0.3853,88.30,1.5088,64.80
search,130,0.3857,88.29,1.5060,64.88
search,131,0.3847,88.31,1.5076,64.85
search,132,0.3842,88.46,1.5023,64.93
search,133,0.3852,88.32,1.5102,64.90
search,134,0.3848,88.38,1.5081,65.03
search,135,0.3863,88.35,1.5142,64.81
search,136,0.3835,88.44,1.5099,64.76
search,137,0.3824,88.36,1.5142,64.60
search,138,0.3797,88.20,1.5139,64.64
search,139,0.3819,88.36,1.5134,64.86
search,140,0.3791,88.41,1.5154,64.69
search,141,0.3791,88.43,1.5152,64.84
search,142,0.3777,88.68,1.5185,64.63
search,143,0.3798,88.48,1.5138,64.60
search,144,0.3813,88.42,1.5177,64.91
search,145,0.3788,88.54,1.5142,64.80
search,146,0.3815,88.39,1.5130,64.57
search,147,0.3767,88.47,1.5201,64.61
search,148,0.3749,88.75,1.5187,64.77
search,149,0.3798,88.61,1.5202,64.77
search,150,0.3752,88.54,1.5154,64.74
search,151,0.3781,88.59,1.5206,64.70
search,152,0.3792,88.47,1.5209,64.77
search,153,0.3749,88.53,1.5254,64.58
search,154,0.3755,88.68,1.5275,64.62
search,155,0.3773,88.72,1.5226,64.54
search,156,0.3776,88.48,1.5231,64.72
search,157,0.3746,88.58,1.5249,64.68
search,158,0.3740,88.68,1.5265,64.56
search,159,0.3741,88.50,1.5207,64.59
search,160,0.3716,88.69,1.5271,64.60
finetune,1,2.1312,43.98,2.2826,42.68
finetune,2,1.5827,55.01,2.1111,47.63
finetune,3,1.4633,58.10,1.7950,52.15
finetune,4,1.3985,59.71,1.8486,52.08
finetune,5,1.3496,60.87,1.8396,51.93
finetune,6,1.3281,61.71,1.8325,52.10
finetune,7,1.3015,62.51,1.8073,52.33
finetune,8,1.2796,62.58,1.9061,50.77
finetune,9,1.2533,63.56,1.7138,55.29
finetune,10,1.2403,64.01,1.7651,53.96
finetune,11,1.2255,64.05,1.8159,53.47
finetune,12,1.2272,64.36,1.8306,52.63
finetune,13,1.2008,64.94,1.7854,53.11
finetune,14,1.1883,65.43,1.7518,54.45
finetune,15,1.1866,65.31,1.7242,54.81
finetune,16,1.1853,65.24,1.7091,54.79
finetune,17,1.1645,65.75,1.8679,53.20
finetune,18,1.1505,66.24,1.6913,55.70
finetune,19,1.1544,66.25,1.8150,53.93
finetune,20,1.1464,66.34,1.9755,51.65
finetune,21,1.1378,66.63,1.9539,51.71
finetune,22,1.1295,66.96,1.6238,57.15
finetune,23,1.1210,67.02,1.7137,55.92
finetune,24,1.1109,67.28,1.7428,54.76
finetune,25,1.1180,66.88,1.6712,56.41
finetune,26,1.1141,67.08,1.9451,52.25
finetune,27,1.1042,67.56,1.6604,56.75
finetune,28,1.1005,67.57,1.7361,55.20
finetune,29,1.1034,67.37,1.7326,56.23
finetune,30,1.0872,67.60,1.7452,55.92
finetune,31,1.0794,68.05,1.8618,53.92
finetune,32,1.0857,67.74,1.7304,55.81
finetune,33,1.0738,67.94,1.6842,56.33
finetune,34,1.0752,68.12,1.7133,55.65
finetune,35,1.0612,68.34,1.6535,56.98
finetune,36,1.0647,68.36,1.7592,55.90
finetune,37,1.0630,68.39,1.8772,53.54
finetune,38,1.0484,68.85,1.7338,55.98
finetune,39,1.0593,68.50,1.8058,55.10
finetune,40,1.0468,69.02,1.6697,57.14
finetune,41,1.0580,68.75,1.9020,53.96
finetune,42,1.0454,68.74,1.7065,57.16
finetune,43,1.0436,69.08,1.8089,54.82
finetune,44,1.0371,69.25,1.8483,54.77
finetune,45,1.0335,69.26,1.7300,56.15
finetune,46,1.0311,69.46,1.7775,55.17
finetune,47,1.0290,69.18,1.8113,55.17
finetune,48,1.0257,69.39,1.6523,56.88
finetune,49,1.0247,69.36,1.6733,56.71
finetune,50,1.0299,69.14,1.8681,53.62
finetune,51,1.0298,69.39,1.7603,55.86
finetune,52,1.0316,69.11,1.8247,54.84
finetune,53,1.0143,69.78,1.7448,55.48
finetune,54,1.0146,69.75,2.0626,52.40
finetune,55,1.0233,69.48,1.8059,55.04
finetune,56,1.0220,69.42,1.9898,51.83
finetune,57,1.0092,69.91,1.7327,56.01
finetune,58,1.0086,70.05,1.7416,55.15
finetune,59,0.9990,70.23,1.7985,54.70
finetune,60,0.9965,70.12,1.7642,55.80
finetune,61,1.0023,70.10,1.8669,55.00
finetune,62,0.9975,70.20,1.7547,55.57
finetune,63,0.9960,70.21,1.7551,55.84
finetune,64,0.9981,70.25,1.8186,54.27
finetune,65,0.9875,70.51,1.8893,54.17
finetune,66,0.9967,70.15,1.7430,56.88
finetune,67,0.9829,70.62,1.6256,57.79
finetune,68,0.9964,70.23,1.7659,56.52
finetune,69,0.9751,70.84,1.6591,57.36
finetune,70,0.9874,70.34,1.8208,54.90
finetune,71,0.9877,70.25,1.9138,55.02
finetune,72,0.9791,70.79,1.7226,57.12
finetune,73,0.9798,70.59,1.8118,55.70
finetune,74,0.9740,70.87,1.8313,55.55
finetune,75,0.9750,70.71,1.7071,56.72
