epoch,train_loss,train_acc,test_loss,test_acc
8,2.3872,37.24,6.8153,4.82
9,2.1618,42.01,5.2080,9.65
10,2.0426,44.69,3.7363,19.53
11,1.9621,46.66,3.8199,19.04
12,1.9081,47.93,4.6561,15.64
13,1.8564,48.69,3.6998,23.51
14,1.8135,50.43,3.0462,28.94
15,1.7765,50.89,2.5180,37.67
16,1.7341,52.00,2.2599,42.44
17,1.6895,53.25,2.5672,36.64
18,1.6745,53.34,2.4674,39.53
19,1.6403,54.15,2.1507,44.50
20,1.6176,54.70,2.1628,44.50
21,1.6093,54.77,2.2110,45.09
22,1.5934,55.03,2.2567,44.23
23,1.5699,55.72,2.0875,46.81
24,1.5529,56.31,1.9815,48.56
25,1.5350,56.74,2.1690,45.74
26,1.5253,56.81,2.0194,48.45
27,1.5070,57.32,2.1391,45.77
28,1.4930,57.82,2.3049,43.99
29,1.4791,57.90,2.0443,46.05
30,1.4735,58.28,2.1738,47.26
31,1.4630,58.08,2.1558,45.91
32,1.4442,59.03,2.0814,48.93
33,1.4411,58.95,2.1546,46.40
34,1.4355,59.02,1.8521,51.47
35,1.4223,59.39,2.1001,47.42
36,1.4244,59.46,2.0868,47.58
37,1.4097,59.54,2.0522,48.89
38,1.4009,60.07,1.9026,50.18
39,1.3957,60.07,1.8259,52.04
40,1.3887,60.41,1.9167,51.06
41,1.3835,60.40,1.9800,49.43
42,1.3854,60.62,1.7992,52.18
43,1.3759,60.49,2.0073,49.68
44,1.3689,60.84,2.2341,46.31
45,1.3671,60.88,1.9068,50.84
46,1.3524,61.09,2.0993,49.05
47,1.3619,61.10,2.1423,47.51
48,1.3470,61.34,2.1353,47.40
49,1.3370,61.44,1.8039,52.71
50,1.3354,61.68,1.8255,52.49
51,1.3218,61.79,1.7637,53.47
52,1.3206,61.82,1.9720,51.24
53,1.3181,61.87,1.8657,51.87
54,1.3156,62.12,1.8794,52.18
55,1.3092,62.39,1.8442,52.64
56,1.3135,62.06,1.8477,52.62
57,1.2976,62.81,1.9992,50.17
58,1.3090,62.35,1.9279,50.98
59,1.3059,62.55,1.8203,52.52
60,1.2958,62.44,1.8484,52.40
61,1.2890,62.77,1.8471,52.87
62,1.2835,63.00,1.8410,53.16
63,1.2969,62.72,1.9646,49.35
64,1.2800,62.73,2.1310,49.24
65,1.2859,62.86,1.8269,52.25
66,1.2778,62.76,1.8971,51.53
67,1.2697,63.25,1.8737,51.32
68,1.2816,62.98,1.8806,52.67
69,1.2753,63.44,1.7709,54.98
70,1.2677,63.29,1.8813,52.52
71,1.2661,63.36,1.8405,52.81
72,1.2548,63.74,1.8021,55.15
73,1.2583,63.69,2.0776,49.24
74,1.2690,63.09,1.8302,52.87
75,1.2502,63.83,1.7648,53.64
76,1.2606,63.63,1.7935,54.17
77,1.2480,63.83,1.9271,52.40
78,1.2564,63.41,1.8653,52.78
79,1.2521,63.62,1.9078,51.37
80,1.2494,63.89,2.0213,50.79
81,1.0101,70.64,1.4519,60.97
82,0.9434,72.55,1.4299,61.21
83,0.9193,73.07,1.4480,61.49
84,0.9038,73.33,1.4355,61.89
85,0.8908,73.65,1.4496,61.45
86,0.8817,74.00,1.4563,61.52
87,0.8649,74.58,1.4541,61.61
88,0.8608,74.49,1.4407,61.73
89,0.8596,74.63,1.4656,61.60
90,0.8517,74.92,1.4640,61.80
91,0.8473,74.88,1.4548,61.63
92,0.8374,75.22,1.4642,61.73
93,0.8409,74.93,1.4867,61.25
94,0.8313,75.19,1.4798,61.46
95,0.8310,75.27,1.4914,61.52
96,0.8242,75.52,1.4789,61.73
97,0.8243,75.49,1.4979,61.97
98,0.8150,75.64,1.4981,61.45
99,0.8197,75.26,1.4907,61.59
100,0.8108,75.70,1.4956,61.76
101,0.8107,75.70,1.5068,61.59
102,0.8113,75.80,1.5120,61.53
103,0.8053,75.98,1.4920,61.87
104,0.7978,76.11,1.5047,61.51
105,0.8011,76.02,1.5013,61.50
106,0.7942,76.20,1.5159,61.23
107,0.7935,76.05,1.5088,61.43
108,0.7911,76.27,1.5020,61.59
109,0.7849,76.30,1.5319,61.56
110,0.7835,76.39,1.5426,61.05
111,0.7918,76.04,1.5207,61.11
112,0.7838,76.24,1.5346,61.26
113,0.7834,76.41,1.5190,61.43
114,0.7852,76.37,1.5413,61.26
115,0.7807,76.52,1.5330,61.38
116,0.7727,76.75,1.5502,61.58
117,0.7688,76.85,1.5258,61.49
118,0.7711,76.64,1.5452,61.15
119,0.7721,76.68,1.5445,61.38
120,0.7709,76.58,1.5542,60.95
121,0.7300,78.10,1.5172,62.05
122,0.7167,78.51,1.5102,62.06
123,0.7161,78.62,1.5142,62.15
124,0.7153,78.52,1.5104,62.29
125,0.7133,78.57,1.5155,62.02
126,0.7140,78.67,1.5230,62.09
127,0.7108,78.65,1.5203,61.98
128,0.7066,78.84,1.5137,62.02
129,0.7048,78.98,1.5182,62.14
130,0.7036,78.97,1.5110,62.43
131,0.7048,78.68,1.5184,62.07
132,0.7058,78.64,1.5123,62.15
133,0.7013,78.92,1.5248,62.12
134,0.7013,79.18,1.5182,61.95
135,0.7013,78.97,1.5174,62.25
136,0.7031,78.84,1.5169,62.26
137,0.7051,78.89,1.5188,62.07
138,0.7038,78.80,1.5116,62.34
139,0.7024,78.86,1.5260,62.10
140,0.7014,78.87,1.5256,61.91
141,0.6986,78.97,1.5226,62.10
142,0.7024,78.86,1.5240,62.08
143,0.7006,78.84,1.5225,62.09
144,0.6971,78.86,1.5180,61.89
145,0.7032,78.87,1.5254,62.00
146,0.6964,78.93,1.5246,62.02
147,0.6979,78.92,1.5245,62.01
148,0.6964,79.17,1.5178,62.22
149,0.6959,78.94,1.5243,62.13
150,0.6941,79.14,1.5276,61.96
151,0.6949,79.04,1.5276,62.11
152,0.6918,79.18,1.5290,62.11
153,0.6986,79.01,1.5277,61.89
154,0.6931,78.93,1.5265,62.14
155,0.6910,79.26,1.5382,61.95
156,0.6919,79.06,1.5223,62.22
157,0.6878,79.30,1.5269,62.32
158,0.6889,79.22,1.5281,62.05
159,0.6917,79.19,1.5282,62.01
160,0.6959,79.04,1.5258,62.36
