epoch,train_loss,train_acc,test_loss,test_acc
1,1.6535,40.62,1.5869,45.74
2,1.1922,57.10,1.2066,57.58
3,0.9826,65.27,1.0974,63.46
4,0.8566,69.87,0.9698,68.16
5,0.7559,73.80,0.8010,72.97
6,0.7021,75.41,0.7714,74.53
7,0.6610,77.21,0.8711,72.83
8,0.6187,78.36,0.7225,75.55
9,0.5915,79.47,0.7222,75.89
10,0.5664,80.45,0.6412,78.73
11,0.5491,81.12,0.7227,76.49
12,0.5307,81.48,0.6181,79.35
13,0.5153,82.11,0.6528,77.98
14,0.4983,82.68,0.6302,78.81
15,0.4920,82.83,0.5635,81.36
16,0.4784,83.42,0.7098,77.59
17,0.4651,83.88,0.5459,81.79
18,0.4604,84.03,0.5942,79.86
19,0.4492,84.58,0.5728,80.64
20,0.4413,84.70,0.5619,80.98
21,0.4426,84.76,0.5263,82.45
22,0.4295,85.01,0.5314,82.11
23,0.4251,85.39,0.5933,81.56
24,0.4155,85.60,0.5596,82.11
25,0.4103,85.90,0.5362,82.32
26,0.4067,85.94,0.5362,82.55
27,0.4076,85.97,0.5780,80.22
28,0.3958,86.14,0.6254,80.07
29,0.3919,86.41,0.5231,83.28
30,0.3926,86.20,0.5918,81.21
31,0.3864,86.60,0.7781,75.80
32,0.3791,86.97,0.5978,81.66
33,0.3759,87.03,0.6299,80.66
34,0.3765,86.92,0.5099,83.13
35,0.3737,87.04,0.5385,82.90
36,0.3723,87.04,0.4874,84.13
37,0.3635,87.33,0.5084,84.13
38,0.3616,87.37,0.5036,83.63
39,0.3596,87.59,0.5290,83.22
40,0.3531,87.75,0.4943,83.37
41,0.3598,87.52,0.5798,81.40
42,0.3560,87.67,0.6584,79.93
43,0.3511,87.76,0.6361,80.28
44,0.3511,87.79,0.5561,82.31
45,0.3464,87.86,0.8071,76.42
46,0.3465,88.03,0.6049,81.57
47,0.3466,87.90,0.4970,83.82
48,0.3369,88.21,0.5294,83.21
49,0.3359,88.38,0.4769,84.82
50,0.3429,88.15,0.5029,83.92
51,0.3384,88.16,0.4932,84.41
52,0.3326,88.48,0.5322,83.04
53,0.3317,88.30,0.6565,80.21
54,0.3357,88.30,0.5722,82.97
55,0.3308,88.64,0.4436,85.67
56,0.3324,88.46,0.5090,83.74
57,0.3246,88.74,0.5106,83.73
58,0.3255,88.76,0.5114,83.89
59,0.3287,88.56,0.5140,83.30
60,0.3200,89.04,0.6680,79.20
61,0.3223,88.87,0.5344,83.13
62,0.3229,88.77,0.5622,81.55
63,0.3254,88.66,0.4714,84.98
64,0.3205,88.86,0.5305,83.21
65,0.3169,89.04,0.5098,83.66
66,0.3169,88.94,0.5258,83.57
67,0.3121,89.17,0.5850,82.10
68,0.3168,88.92,0.6004,81.05
69,0.3129,89.06,0.4339,85.69
70,0.3084,89.30,0.5023,84.15
71,0.3147,89.10,0.4789,84.42
72,0.3071,89.27,0.5180,83.60
73,0.3107,89.25,0.5715,82.63
74,0.3105,89.19,0.4505,85.53
75,0.3040,89.36,0.4578,85.73
76,0.3141,89.00,0.5460,82.43
77,0.3061,89.26,0.4649,85.24
78,0.3068,89.39,0.6061,82.15
79,0.3096,89.23,0.5210,83.54
80,0.3056,89.33,0.4980,84.17
81,0.2188,92.56,0.3206,89.49
82,0.1902,93.51,0.3145,89.67
