step,label,prune_ratio,sparsity_after_prune,finetune_epochs_run,finetune_max_epochs,finetune_patience,best_test_acc,final_test_acc
0,one-shot,0.6300,0.6300,200,200,200,64.40,64.40
1,iter-1,0.1000,0.6670,10,10,10,63.90,63.90
2,iter-2,0.1000,0.7003,10,10,10,63.78,63.78
3,iter-3,0.1000,0.7303,10,10,10,63.55,63.55
4,iter-4,0.1000,0.7573,10,10,10,63.64,63.64
5,iter-5,0.1000,0.7815,10,10,10,63.20,63.20
6,iter-6,0.1000,0.8034,10,10,10,63.23,63.23
7,iter-7,0.1000,0.8231,10,10,10,62.50,62.50
8,iter-8,0.1000,0.8407,10,10,10,61.94,61.94
9,iter-9,0.1000,0.8567,10,10,10,61.15,61.15
10,iter-10,0.1000,0.8710,10,10,10,61.13,61.13
11,iter-11,0.1000,0.8839,10,10,10,59.91,59.91
12,iter-12,0.1000,0.8955,10,10,10,59.21,59.21
13,iter-13,0.0431,0.9000,10,10,10,59.20,59.20
