epoch,train_loss,train_acc,test_loss,test_acc
1,4.2554,4.83,4.1185,6.78
2,3.8222,9.90,3.8429,10.58
3,3.6024,13.57,3.5508,14.67
4,3.4256,16.70,3.5056,16.09
5,3.2745,18.96,3.5107,17.45
6,3.1577,20.82,3.6894,16.10
7,3.0587,22.50,3.1836,21.79
8,2.9669,24.50,3.3800,19.23
9,2.8889,25.81,2.9326,26.01
10,2.8303,27.29,3.0036,25.06
11,2.7625,28.53,2.8690,27.32
12,2.7114,29.65,3.1333,24.51
13,2.6680,30.32,2.9163,27.40
14,2.6223,31.22,2.8165,28.93
15,2.5846,31.91,2.8139,29.15
16,2.5607,32.58,2.7981,29.85
17,2.5283,33.21,2.6315,32.41
18,2.4999,33.86,2.6446,31.45
19,2.4686,34.38,2.6456,31.85
20,2.4543,34.93,3.1729,24.62
21,2.4225,35.63,2.7233,29.73
22,2.4056,35.96,2.5831,32.85
23,2.3868,36.30,2.5827,32.86
24,2.3778,36.43,2.4451,35.03
25,2.3601,36.80,2.6984,30.89
26,2.3413,37.32,2.5731,33.50
27,2.3394,37.39,2.9352,29.45
28,2.3248,37.30,2.8764,31.56
29,2.3082,38.01,2.5451,34.37
30,2.2920,38.37,2.6465,33.39
31,2.2863,38.48,2.8030,32.47
32,2.2823,38.58,2.7593,32.48
33,2.2675,38.78,2.4694,35.90
34,2.2637,38.99,2.4830,36.60
35,2.2573,39.33,2.5485,35.06
36,2.2493,38.76,2.3363,37.85
37,2.2335,39.97,2.9561,30.40
38,2.2400,39.63,2.7545,31.99
39,2.2219,40.12,3.0147,29.19
40,2.2244,39.80,2.8140,30.33
41,2.2217,39.96,2.4697,35.92
42,2.2061,40.07,2.4935,36.53
43,2.2125,40.15,2.6128,33.67
44,2.2083,40.20,2.5817,34.55
45,2.2003,40.52,2.3670,36.83
46,2.1927,40.43,2.5212,35.10
47,2.1836,40.77,2.5062,36.39
48,2.1955,40.80,2.4424,36.20
49,2.1918,40.84,2.4008,37.42
50,2.1731,40.88,2.7923,31.08
51,2.1614,41.11,2.3157,39.05
52,2.1774,40.88,2.3932,36.97
53,2.1671,41.20,2.4852,35.03
54,2.1558,41.49,2.2863,39.71
55,2.1549,41.27,2.5908,35.04
56,2.1558,41.25,2.3496,38.32
57,2.1518,41.67,2.3152,39.18
58,2.1517,41.50,2.6332,35.08
59,2.1369,41.85,2.3524,39.13
60,2.1424,41.84,2.4750,36.57
61,2.1450,41.69,2.7056,33.55
62,2.1361,41.72,2.2892,40.12
63,2.1285,42.38,2.4899,37.52
64,2.1280,42.21,2.4010,37.78
65,2.1278,41.91,2.6419,34.48
66,2.1265,42.27,2.4566,36.37
67,2.1232,41.91,2.4153,38.28
68,2.1129,42.50,2.8090,32.42
