phase,epoch,train_loss,train_acc,test_loss,test_acc
initial_training,1,1.7588,34.80,1.4690,46.27
initial_training,2,1.3183,51.82,1.1980,57.34
initial_training,3,1.0791,61.59,1.0559,63.68
initial_training,4,0.9312,67.00,1.0529,65.01
initial_training,5,0.8149,71.55,1.0348,67.17
initial_training,6,0.7353,74.31,0.8420,72.14
initial_training,7,0.6666,76.90,0.8128,73.89
initial_training,8,0.6087,78.79,0.6745,77.33
initial_training,9,0.5713,80.36,0.6354,79.42
initial_training,10,0.5399,81.21,0.6249,79.25
initial_training,11,0.5044,82.62,0.5856,80.11
initial_training,12,0.4833,83.28,0.5946,80.19
initial_training,13,0.4558,84.17,0.5729,81.34
initial_training,14,0.4451,84.72,0.5695,81.65
initial_training,15,0.4229,85.22,0.5656,80.92
initial_training,16,0.4098,85.90,0.5237,82.98
initial_training,17,0.3910,86.52,0.5219,82.85
initial_training,18,0.3758,86.78,0.5125,82.99
initial_training,19,0.3710,87.15,0.5203,83.14
initial_training,20,0.3566,87.59,0.5919,81.59
initial_training,21,0.3491,87.89,0.4851,84.47
initial_training,22,0.3380,88.29,0.4912,83.91
initial_training,23,0.3278,88.63,0.4676,85.02
initial_training,24,0.3157,88.94,0.5122,84.11
initial_training,25,0.3088,89.26,0.4959,83.91
initial_training,26,0.3000,89.60,0.5107,83.47
initial_training,27,0.2983,89.57,0.4830,84.50
initial_training,28,0.2888,89.85,0.4829,84.48
initial_training,29,0.2819,90.15,0.5216,83.66
initial_training,30,0.2773,90.23,0.4722,85.04
initial_training,31,0.2669,90.64,0.4578,85.49
initial_training,32,0.2667,90.61,0.4212,86.74
initial_training,33,0.2571,91.00,0.4656,85.73
initial_training,34,0.2525,91.23,0.4991,84.80
initial_training,35,0.2440,91.46,0.4611,85.63
initial_training,36,0.2410,91.48,0.4893,84.88
initial_training,37,0.2358,91.71,0.4375,86.16
initial_training,38,0.2379,91.63,0.4899,85.05
initial_training,39,0.2272,92.03,0.4826,85.63
initial_training,40,0.2209,92.40,0.4536,85.83
initial_training,41,0.2151,92.43,0.4866,85.66
initial_training,42,0.2100,92.64,0.4218,87.09
initial_training,43,0.2136,92.52,0.4080,87.15
initial_training,44,0.2069,92.72,0.4389,86.48
initial_training,45,0.2052,92.75,0.4100,87.32
initial_training,46,0.1975,93.08,0.4434,86.11
initial_training,47,0.1910,93.34,0.4804,86.26
initial_training,48,0.1934,93.18,0.4191,87.18
initial_training,49,0.1908,93.36,0.4194,87.32
initial_training,50,0.1828,93.72,0.4756,86.28
initial_training,51,0.1785,93.74,0.4352,86.69
initial_training,52,0.1791,93.75,0.3851,88.31
initial_training,53,0.1755,93.85,0.4444,86.60
initial_training,54,0.1753,93.80,0.4477,87.01
initial_training,55,0.1704,94.06,0.3985,88.07
initial_training,56,0.1686,94.07,0.4904,86.46
initial_training,57,0.1619,94.32,0.4197,87.80
initial_training,58,0.1612,94.36,0.4185,88.34
initial_training,59,0.1567,94.57,0.4553,86.80
initial_training,60,0.1514,94.70,0.4189,87.38
initial_training,61,0.1519,94.76,0.4074,87.75
initial_training,62,0.1480,94.89,0.4236,88.00
initial_training,63,0.1438,94.99,0.3598,89.18
