epoch,train_loss,train_acc,test_loss,test_acc
1,1.8116,34.65,1.4786,45.46
2,1.3972,48.68,1.4372,48.20
3,1.2065,56.59,1.1813,57.73
4,1.0764,61.52,1.0707,61.76
5,0.9824,64.72,0.9569,66.44
6,0.9037,68.05,0.9141,69.03
7,0.8509,69.95,0.9463,67.22
8,0.8068,71.69,0.8505,70.59
9,0.7775,72.86,0.9292,69.25
10,0.7473,73.98,0.8604,71.52
11,0.7287,74.63,0.8058,73.20
12,0.7033,75.59,0.8372,71.44
13,0.6934,76.00,0.8270,71.98
14,0.6807,76.28,0.8210,72.42
15,0.6630,76.89,0.7143,75.27
16,0.6598,77.07,0.7406,74.69
17,0.6418,77.68,0.7966,72.83
18,0.6383,77.64,0.7170,76.01
19,0.6327,77.94,0.7563,74.69
20,0.6217,78.30,0.7451,74.93
21,0.6176,78.47,0.8264,72.38
22,0.6105,78.91,0.7416,75.49
23,0.6099,78.84,0.6803,76.06
24,0.5920,79.51,0.7838,74.50
25,0.5920,79.56,0.7819,74.19
26,0.5843,79.62,0.7546,75.00
27,0.5802,79.75,0.6928,76.60
28,0.5731,80.18,0.6833,77.02
29,0.5744,80.24,0.7777,75.08
30,0.5713,80.33,0.7347,74.55
31,0.5595,80.60,0.7857,75.15
32,0.5587,80.67,0.6626,78.39
33,0.5559,80.77,0.6337,78.60
34,0.5591,80.71,0.7268,76.72
35,0.5452,81.10,0.7252,75.99
36,0.5492,80.88,0.6517,78.00
37,0.5445,81.15,0.7015,76.51
38,0.5420,81.34,0.6332,78.20
39,0.5375,81.42,0.7704,74.45
40,0.5406,81.32,0.7297,76.85
41,0.5339,81.54,0.6777,77.49
42,0.5270,81.73,0.7353,75.23
43,0.5335,81.50,0.6420,78.29
44,0.5301,81.57,0.8602,73.03
45,0.5249,81.85,0.8140,74.02
46,0.5217,81.90,0.8546,74.58
47,0.5240,82.03,0.6622,78.24
48,0.5203,81.96,0.6168,79.14
49,0.5159,82.26,0.6359,78.28
50,0.5220,81.86,0.6428,78.84
51,0.5196,82.06,0.7156,77.35
52,0.5123,82.20,0.6564,78.69
53,0.5143,82.24,0.8424,73.76
54,0.5084,82.20,0.7914,75.01
55,0.5065,82.45,0.7726,75.93
56,0.5048,82.41,0.5951,80.07
57,0.5049,82.54,0.8325,74.83
58,0.5053,82.51,0.7586,75.45
59,0.5010,82.66,0.6059,78.35
60,0.5008,82.68,0.6855,77.82
61,0.5009,82.68,0.6937,77.38
62,0.5003,82.81,0.6534,79.30
63,0.4969,82.86,0.6875,77.46
64,0.4944,82.85,0.6121,79.74
65,0.5017,82.46,0.8483,74.46
66,0.4905,83.04,0.6087,79.71
67,0.4888,83.11,0.6045,79.33
68,0.4900,83.00,0.6575,78.37
69,0.4870,82.93,0.7562,74.96
70,0.4935,82.86,0.5989,80.12
71,0.4871,83.19,0.6548,78.75
72,0.4918,83.02,0.5944,79.81
73,0.4889,83.27,0.5654,80.88
74,0.4869,83.09,0.7648,75.51
75,0.4814,83.45,0.6362,78.36
76,0.4868,83.22,0.8313,74.54
77,0.4819,83.39,0.6410,78.40
78,0.4836,83.27,0.6453,79.02
79,0.4779,83.71,0.6868,77.69
80,0.4870,82.96,0.6186,79.55
81,0.3983,86.22,0.4453,84.64
82,0.3710,87.09,0.4425,84.93
83,0.3613,87.44,0.4305,85.27
84,0.3564,87.74,0.4332,85.26
85,0.3499,87.82,0.4322,85.18
86,0.3483,88.05,0.4279,85.25
87,0.3469,88.07,0.4362,85.07
88,0.3427,88.11,0.4267,85.52
89,0.3355,88.51,0.4309,85.45
90,0.3394,88.25,0.4272,85.68
91,0.3348,88.65,0.4317,85.48
92,0.3342,88.41,0.4316,85.46
93,0.3304,88.54,0.4412,85.26
94,0.3291,88.47,0.4309,85.49
95,0.3297,88.57,0.4345,85.50
96,0.3301,88.62,0.4316,85.62
97,0.3270,88.68,0.4358,85.33
98,0.3297,88.57,0.4351,85.79
99,0.3251,88.70,0.4288,85.79
100,0.3212,88.85,0.4366,85.35
101,0.3237,88.68,0.4354,85.58
102,0.3246,88.71,0.4352,85.47
103,0.3230,88.69,0.4391,85.34
104,0.3203,88.71,0.4280,85.51
105,0.3218,88.71,0.4310,85.64
106,0.3200,88.97,0.4345,85.70
107,0.3235,88.73,0.4320,85.30
108,0.3158,89.01,0.4366,85.36
