phase,epoch,train_loss,train_acc,test_loss,test_acc
one-shot,1,0.8981,73.23,1.3210,63.75
one-shot,2,0.8033,76.11,1.2878,64.81
one-shot,3,0.7586,77.58,1.2696,65.33
one-shot,4,0.7399,78.02,1.2615,65.38
one-shot,5,0.7249,78.48,1.2557,65.42
one-shot,6,0.7164,78.71,1.2511,65.50
one-shot,7,0.7041,78.87,1.2538,65.81
one-shot,8,0.6923,79.49,1.2474,65.79
one-shot,9,0.6855,79.66,1.2437,65.91
one-shot,10,0.6852,79.67,1.2372,65.94
one-shot,11,0.6777,79.94,1.2466,65.65
one-shot,12,0.6718,80.14,1.2384,65.88
one-shot,13,0.6644,80.31,1.2381,66.23
one-shot,14,0.6634,80.29,1.2415,66.21
one-shot,15,0.6582,80.44,1.2471,66.40
one-shot,16,0.6489,80.83,1.2382,66.09
one-shot,17,0.6503,80.73,1.2413,66.02
one-shot,18,0.6500,80.73,1.2427,66.43
one-shot,19,0.6481,80.63,1.2445,66.02
one-shot,20,0.6443,80.98,1.2332,66.66
one-shot,21,0.6367,81.16,1.2352,66.19
one-shot,22,0.6356,81.10,1.2290,66.53
one-shot,23,0.6296,81.35,1.2335,66.32
one-shot,24,0.6301,81.57,1.2329,66.40
one-shot,25,0.6298,81.32,1.2325,66.65
one-shot,26,0.6275,81.43,1.2456,66.33
one-shot,27,0.6254,81.45,1.2339,66.29
one-shot,28,0.6262,81.45,1.2358,66.39
one-shot,29,0.6145,81.71,1.2279,66.76
one-shot,30,0.6193,81.64,1.2366,66.50
one-shot,31,0.6233,81.49,1.2411,66.62
one-shot,32,0.6222,81.71,1.2333,66.56
one-shot,33,0.6162,81.89,1.2374,66.36
one-shot,34,0.6163,81.82,1.2409,66.44
one-shot,35,0.6146,81.75,1.2357,66.32
one-shot,36,0.6098,82.05,1.2372,66.52
one-shot,37,0.6108,81.84,1.2432,66.38
one-shot,38,0.6077,82.02,1.2439,66.54
one-shot,39,0.6093,82.14,1.2397,66.42
one-shot,40,0.6046,82.14,1.2368,66.59
one-shot,41,0.6060,82.10,1.2381,66.51
one-shot,42,0.6050,82.24,1.2351,66.38
one-shot,43,0.6073,82.04,1.2353,66.61
one-shot,44,0.6070,82.08,1.2407,66.53
one-shot,45,0.6064,81.95,1.2362,66.61
one-shot,46,0.6024,82.30,1.2460,66.52
one-shot,47,0.6005,82.30,1.2419,66.49
one-shot,48,0.5976,82.19,1.2467,66.41
one-shot,49,0.5965,82.50,1.2357,66.62
one-shot,50,0.5927,82.16,1.2474,66.76
one-shot,51,0.5917,82.39,1.2406,66.54
one-shot,52,0.5903,82.40,1.2414,66.57
one-shot,53,0.5910,82.45,1.2533,66.56
one-shot,54,0.5945,82.28,1.2329,66.66
one-shot,55,0.5893,82.63,1.2408,66.76
one-shot,56,0.5927,82.46,1.2397,66.43
one-shot,57,0.5817,82.66,1.2390,66.40
one-shot,58,0.5897,82.79,1.2428,66.70
one-shot,59,0.5878,82.70,1.2431,66.57
one-shot,60,0.5835,82.66,1.2485,66.75
one-shot,61,0.5886,82.64,1.2494,66.49
one-shot,62,0.5852,82.69,1.2487,66.72
one-shot,63,0.5798,82.81,1.2375,66.66
one-shot,64,0.5813,82.76,1.2384,66.43
one-shot,65,0.5784,82.91,1.2468,66.59
one-shot,66,0.5832,82.46,1.2551,66.40
one-shot,67,0.5802,82.62,1.2435,66.88
one-shot,68,0.5772,82.91,1.2533,66.63
one-shot,69,0.5816,82.95,1.2523,66.39
one-shot,70,0.5716,83.02,1.2384,66.71
one-shot,71,0.5757,82.94,1.2408,66.59
one-shot,72,0.5731,82.98,1.2511,66.53
one-shot,73,0.5735,83.06,1.2486,66.68
one-shot,74,0.5696,83.03,1.2391,66.74
one-shot,75,0.5754,83.20,1.2491,66.94
one-shot,76,0.5760,82.96,1.2439,66.79
one-shot,77,0.5715,82.97,1.2538,66.64
one-shot,78,0.5756,82.71,1.2536,66.42
one-shot,79,0.5706,83.16,1.2515,66.72
one-shot,80,0.5749,82.94,1.2471,66.95
one-shot,81,0.5723,83.03,1.2498,66.86
one-shot,82,0.5679,83.26,1.2478,66.74
one-shot,83,0.5694,83.11,1.2552,66.86
one-shot,84,0.5687,83.03,1.2547,66.58
one-shot,85,0.5721,83.15,1.2571,66.43
one-shot,86,0.5638,83.38,1.2476,66.81
one-shot,87,0.5639,83.34,1.2590,66.59
one-shot,88,0.5683,83.26,1.2552,66.45
one-shot,89,0.5609,83.42,1.2454,66.87
one-shot,90,0.5642,83.36,1.2460,66.80
one-shot,91,0.5661,83.31,1.2486,66.79
one-shot,92,0.5616,83.54,1.2505,67.03
one-shot,93,0.5622,83.22,1.2486,66.89
one-shot,94,0.5618,83.41,1.2477,66.65
one-shot,95,0.5588,83.57,1.2502,66.72
one-shot,96,0.5636,83.36,1.2559,66.53
one-shot,97,0.5593,83.73,1.2530,66.39
one-shot,98,0.5575,83.52,1.2609,66.54
one-shot,99,0.5622,83.26,1.2520,66.78
one-shot,100,0.5567,83.46,1.2509,66.72
one-shot,101,0.5576,83.39,1.2526,66.84
one-shot,102,0.5567,83.53,1.2548,66.57
one-shot,103,0.5549,83.57,1.2546,66.44
one-shot,104,0.5521,83.69,1.2527,66.78
one-shot,105,0.5521,83.79,1.2611,66.70
one-shot,106,0.5585,83.59,1.2518,66.78
one-shot,107,0.5501,83.87,1.2577,66.55
one-shot,108,0.5510,83.60,1.2597,66.65
one-shot,109,0.5532,83.67,1.2582,66.69
one-shot,110,0.5559,83.54,1.2620,66.82
one-shot,111,0.5547,83.56,1.2551,66.86
one-shot,112,0.5492,83.90,1.2476,66.63
one-shot,113,0.5502,83.72,1.2530,66.71
one-shot,114,0.5494,83.89,1.2568,66.83
one-shot,115,0.5492,83.82,1.2511,66.76
one-shot,116,0.5516,83.70,1.2529,66.63
one-shot,117,0.5508,83.74,1.2584,66.50
one-shot,118,0.5511,83.77,1.2491,66.99
one-shot,119,0.5503,83.73,1.2581,66.66
one-shot,120,0.5490,83.68,1.2481,66.96
one-shot,121,0.5446,83.76,1.2538,66.58
one-shot,122,0.5475,83.78,1.2514,66.83
one-shot,123,0.5477,83.81,1.2513,66.75
one-shot,124,0.5469,83.85,1.2662,66.84
one-shot,125,0.5440,84.05,1.2628,66.68
one-shot,126,0.5441,84.01,1.2541,66.79
one-shot,127,0.5469,83.81,1.2478,66.67
one-shot,128,0.5393,84.18,1.2581,66.80
one-shot,129,0.5421,84.04,1.2546,66.99
one-shot,130,0.5409,84.15,1.2596,66.85
one-shot,131,0.5437,84.07,1.2606,66.81
one-shot,132,0.5477,83.83,1.2615,66.60
one-shot,133,0.5447,83.74,1.2591,66.57
one-shot,134,0.5389,84.32,1.2593,66.76
one-shot,135,0.5383,84.06,1.2536,66.70
one-shot,136,0.5401,84.24,1.2658,66.49
one-shot,137,0.5373,84.20,1.2564,66.81
one-shot,138,0.5408,84.02,1.2537,66.72
one-shot,139,0.5412,84.09,1.2617,66.62
one-shot,140,0.5398,84.13,1.2546,66.56
one-shot,141,0.5358,84.25,1.2518,66.67
one-shot,142,0.5398,84.21,1.2596,66.71
one-shot,143,0.5355,84.40,1.2587,66.67
one-shot,144,0.5391,83.97,1.2620,66.57
one-shot,145,0.5364,84.13,1.2650,66.52
one-shot,146,0.5382,84.14,1.2585,66.81
one-shot,147,0.5406,84.20,1.2502,66.87
one-shot,148,0.5359,84.10,1.2587,66.67
one-shot,149,0.5377,84.16,1.2629,66.38
one-shot,150,0.5328,84.28,1.2564,66.58
one-shot,151,0.5331,84.30,1.2677,66.58
one-shot,152,0.5412,83.99,1.2590,66.53
one-shot,153,0.5383,84.16,1.2561,66.74
one-shot,154,0.5372,84.12,1.2591,66.53
one-shot,155,0.5362,84.31,1.2604,66.61
one-shot,156,0.5312,84.33,1.2612,66.66
one-shot,157,0.5345,84.39,1.2589,66.54
one-shot,158,0.5364,84.18,1.2577,66.50
one-shot,159,0.5308,84.28,1.2551,66.66
one-shot,160,0.5388,84.04,1.2553,66.81
one-shot,161,0.5304,84.63,1.2641,66.78
one-shot,162,0.5350,84.30,1.2607,66.61
one-shot,163,0.5318,84.37,1.2573,66.74
one-shot,164,0.5344,84.12,1.2554,66.72
one-shot,165,0.5315,84.22,1.2702,66.61
one-shot,166,0.5343,84.26,1.2599,66.73
one-shot,167,0.5331,84.27,1.2539,67.05
one-shot,168,0.5305,84.34,1.2589,66.76
one-shot,169,0.5308,84.29,1.2561,66.85
one-shot,170,0.5289,84.59,1.2548,66.99
one-shot,171,0.5262,84.56,1.2509,66.82
one-shot,172,0.5324,84.45,1.2532,66.62
one-shot,173,0.5336,84.27,1.2609,66.35
one-shot,174,0.5306,84.48,1.2577,66.83
one-shot,175,0.5309,84.45,1.2573,66.89
one-shot,176,0.5319,84.41,1.2512,66.81
one-shot,177,0.5295,84.38,1.2645,66.60
one-shot,178,0.5297,84.43,1.2544,67.01
one-shot,179,0.5358,84.17,1.2604,66.74
one-shot,180,0.5316,84.34,1.2549,66.75
one-shot,181,0.5310,84.40,1.2484,67.03
one-shot,182,0.5308,84.40,1.2579,66.72
one-shot,183,0.5263,84.53,1.2653,66.51
one-shot,184,0.5312,84.09,1.2653,66.74
one-shot,185,0.5236,84.57,1.2690,66.66
one-shot,186,0.5296,84.62,1.2617,66.67
one-shot,187,0.5305,84.36,1.2551,66.65
one-shot,188,0.5273,84.53,1.2622,66.71
one-shot,189,0.5313,84.23,1.2570,66.84
one-shot,190,0.5267,84.47,1.2636,66.91
one-shot,191,0.5351,84.14,1.2625,66.77
one-shot,192,0.5320,84.30,1.2653,66.85
one-shot,193,0.5292,84.53,1.2557,66.57
one-shot,194,0.5268,84.50,1.2546,66.82
one-shot,195,0.5259,84.47,1.2555,66.86
one-shot,196,0.5292,84.46,1.2530,66.78
one-shot,197,0.5343,84.21,1.2624,66.61
one-shot,198,0.5273,84.60,1.2631,66.91
one-shot,199,0.5290,84.54,1.2620,66.58
one-shot,200,0.5294,84.50,1.2504,66.87
iter-1,1,0.5806,82.63,1.2929,66.11
iter-1,2,0.5731,82.83,1.2775,66.31
iter-1,3,0.5745,82.76,1.2856,66.19
iter-1,4,0.5667,83.08,1.2933,66.40
iter-1,5,0.5672,83.05,1.2775,66.48
iter-1,6,0.5623,83.27,1.2814,66.47
iter-1,7,0.5649,83.22,1.2953,66.09
iter-1,8,0.5686,82.98,1.2869,65.90
iter-1,9,0.5642,83.03,1.2662,66.52
iter-1,10,0.5628,83.22,1.2865,66.31
iter-2,1,0.6374,80.77,1.3191,65.23
iter-2,2,0.6127,81.48,1.2856,65.81
iter-2,3,0.6020,82.01,1.2893,65.69
iter-2,4,0.6006,82.10,1.2832,65.84
iter-2,5,0.5971,82.02,1.2801,65.57
iter-2,6,0.5961,81.87,1.2787,65.93
iter-2,7,0.5941,82.13,1.2898,65.50
iter-2,8,0.5849,82.68,1.2792,66.07
iter-2,9,0.5817,82.68,1.2788,65.82
iter-2,10,0.5846,82.50,1.2758,65.81
