phase,epoch,train_loss,train_acc,test_loss,test_acc
one-shot,1,0.1128,96.49,0.3004,90.60
one-shot,2,0.0962,97.14,0.2962,90.75
one-shot,3,0.0896,97.29,0.2961,91.02
one-shot,4,0.0873,97.36,0.2946,91.05
one-shot,5,0.0839,97.53,0.2991,90.95
one-shot,6,0.0817,97.63,0.2902,91.06
one-shot,7,0.0786,97.60,0.2925,91.05
one-shot,8,0.0790,97.70,0.2980,91.05
one-shot,9,0.0755,97.80,0.2986,91.01
one-shot,10,0.0756,97.80,0.3006,90.80
one-shot,11,0.0710,97.98,0.2993,90.99
one-shot,12,0.0692,98.03,0.2931,91.05
one-shot,13,0.0712,97.95,0.2969,91.03
one-shot,14,0.0707,97.93,0.3004,91.01
one-shot,15,0.0696,97.96,0.2998,91.08
one-shot,16,0.0682,98.02,0.3018,91.20
one-shot,17,0.0699,98.05,0.2931,91.11
one-shot,18,0.0674,98.03,0.3050,91.04
one-shot,19,0.0653,98.10,0.2998,91.26
one-shot,20,0.0658,98.06,0.3012,91.10
one-shot,21,0.0640,98.20,0.2973,91.14
one-shot,22,0.0631,98.17,0.2989,91.14
one-shot,23,0.0622,98.26,0.3066,91.01
one-shot,24,0.0624,98.20,0.2979,91.34
one-shot,25,0.0615,98.22,0.3010,91.27
one-shot,26,0.0613,98.20,0.2965,91.19
one-shot,27,0.0595,98.31,0.2972,91.30
one-shot,28,0.0594,98.34,0.3017,91.20
one-shot,29,0.0613,98.14,0.2993,91.06
one-shot,30,0.0591,98.33,0.3028,91.21
one-shot,31,0.0590,98.28,0.3011,91.14
one-shot,32,0.0597,98.22,0.2956,91.32
one-shot,33,0.0569,98.40,0.2977,91.19
one-shot,34,0.0591,98.27,0.2987,91.16
one-shot,35,0.0555,98.49,0.3020,91.44
one-shot,36,0.0565,98.37,0.3020,91.23
one-shot,37,0.0554,98.43,0.3076,91.12
one-shot,38,0.0565,98.35,0.3018,91.31
one-shot,39,0.0550,98.49,0.3005,91.22
one-shot,40,0.0563,98.40,0.2985,91.36
one-shot,41,0.0545,98.48,0.3001,91.23
one-shot,42,0.0542,98.47,0.3022,91.15
one-shot,43,0.0529,98.53,0.3035,91.07
one-shot,44,0.0545,98.42,0.3112,91.06
one-shot,45,0.0552,98.45,0.3063,91.14
one-shot,46,0.0540,98.45,0.3067,91.24
one-shot,47,0.0521,98.54,0.3032,91.34
one-shot,48,0.0519,98.53,0.3073,91.34
one-shot,49,0.0530,98.50,0.3071,91.16
one-shot,50,0.0520,98.54,0.3058,91.26
one-shot,51,0.0512,98.61,0.3075,91.36
