epoch,train_loss,train_acc,test_loss,test_acc
1,2.5609,22.97,1.7745,31.77
2,1.6170,40.12,1.4691,45.61
3,1.3765,50.18,1.2748,54.34
4,1.2266,55.97,1.1739,57.91
5,1.1036,60.63,1.3254,56.01
6,0.9919,64.77,1.1480,62.88
7,0.9005,68.39,0.9530,67.40
8,0.8265,70.79,0.9148,68.19
9,0.7629,73.35,0.9264,69.18
10,0.7046,75.45,0.7665,74.99
11,0.6691,76.63,0.7050,75.90
12,0.6298,78.16,0.8860,71.68
13,0.5967,79.02,0.7447,75.59
14,0.5720,80.24,0.7318,75.63
15,0.5485,80.90,0.6353,78.65
16,0.5257,81.79,0.5982,79.57
17,0.5077,82.60,0.6240,79.08
18,0.4936,82.97,0.6343,78.65
19,0.4791,83.37,0.7760,73.88
20,0.4648,84.06,0.5183,82.53
21,0.4494,84.58,0.5738,80.67
22,0.4423,84.78,0.5667,81.38
23,0.4355,84.89,0.5756,81.39
24,0.4250,85.25,0.5645,81.31
25,0.4131,85.60,0.5582,81.20
26,0.4084,85.85,0.5567,82.09
27,0.3973,86.26,0.5753,81.12
28,0.3955,86.12,0.5403,82.62
29,0.3936,86.18,0.5310,82.06
30,0.3854,86.81,0.4990,83.22
31,0.3785,86.87,0.5078,83.17
32,0.3683,87.17,0.5009,83.64
33,0.3666,87.27,0.6123,80.79
34,0.3585,87.58,0.6120,81.10
35,0.3587,87.53,0.5367,82.51
36,0.3477,87.87,0.5766,82.04
37,0.3536,87.64,0.4937,83.88
38,0.3401,88.09,0.5440,82.93
39,0.3405,88.19,0.5018,83.20
40,0.3344,88.37,0.6011,80.94
41,0.3272,88.67,0.5460,82.99
42,0.3261,88.51,0.5659,82.12
43,0.3233,88.68,0.5567,82.08
44,0.3242,88.56,0.5740,81.89
45,0.3191,88.93,0.5915,81.84
46,0.3108,89.18,0.5065,83.69
47,0.3097,89.26,0.5176,83.44
48,0.3120,89.07,0.4855,84.75
49,0.3079,89.37,0.6760,80.27
50,0.3005,89.51,0.5192,83.99
51,0.2982,89.50,0.6385,80.68
52,0.2963,89.70,0.5238,82.88
53,0.2962,89.71,0.4905,84.38
54,0.2916,89.75,0.4807,84.02
55,0.2880,89.86,0.4485,84.96
56,0.2877,89.87,0.6309,81.23
57,0.2869,89.95,0.5403,83.04
58,0.2784,90.27,0.6808,80.88
59,0.2816,90.20,0.5797,82.49
60,0.2818,90.19,0.6186,81.45
