epoch,train_loss,train_acc,test_loss,test_acc
1,1.6540,40.16,1.3354,51.26
2,1.2673,53.84,1.3790,51.00
3,1.1247,59.68,1.1297,60.39
4,1.0409,63.16,1.2448,59.07
5,0.9646,65.82,1.0320,65.03
6,0.9243,67.22,0.9629,66.48
7,0.8902,68.73,1.2018,62.70
8,0.8437,70.53,0.9291,68.06
9,0.8214,71.05,0.9978,66.21
10,0.7914,72.42,0.8726,70.14
11,0.7712,73.00,0.8914,69.57
12,0.7446,73.90,1.1496,65.01
13,0.7244,74.57,1.1302,65.29
14,0.7180,75.13,0.7618,74.59
15,0.6969,75.91,0.9459,69.16
16,0.6845,76.16,0.8467,72.00
17,0.6715,76.83,0.7294,74.62
18,0.6619,76.90,0.7199,74.76
19,0.6531,77.30,0.9613,68.94
20,0.6559,77.26,0.6909,76.31
21,0.6472,77.38,0.9763,69.92
22,0.6337,78.01,0.6781,76.94
23,0.6273,78.06,0.7129,75.87
24,0.6225,78.22,0.7974,73.57
25,0.6239,78.30,0.8252,73.30
26,0.6112,78.84,0.7445,75.64
27,0.6081,78.91,0.8233,72.66
28,0.5983,79.19,0.9095,70.76
29,0.5983,79.32,0.7813,75.52
30,0.5987,79.24,0.7750,73.77
31,0.5882,79.50,0.9397,71.43
32,0.5836,79.75,0.7480,75.95
33,0.5884,79.67,0.7877,74.10
34,0.5879,79.45,0.9230,69.06
35,0.5845,79.94,0.7566,75.51
36,0.5788,80.07,0.8664,72.50
37,0.5728,80.17,0.6794,77.49
38,0.5762,80.10,0.7332,75.79
39,0.5757,79.98,0.6423,78.51
40,0.5661,80.48,0.8337,73.30
41,0.5670,80.44,0.6889,77.35
42,0.5692,80.33,0.7259,75.55
43,0.5598,80.57,0.8148,73.93
44,0.5632,80.48,0.8231,73.22
45,0.5632,80.36,0.7083,76.75
46,0.5521,80.73,0.6536,78.62
47,0.5556,80.72,0.6728,77.54
48,0.5545,80.68,0.7822,74.33
49,0.5474,80.91,0.7703,76.34
50,0.5487,80.87,0.9289,71.41
