phase,epoch,train_loss,train_acc,test_loss,test_acc
one-shot,1,0.3866,85.27,1.2176,67.15
one-shot,2,0.3382,85.96,1.2282,67.29
one-shot,3,0.3257,86.46,1.2270,67.20
one-shot,4,0.3170,86.65,1.2216,67.29
one-shot,5,0.3136,86.49,1.2315,67.15
one-shot,6,0.3090,86.81,1.2174,67.48
one-shot,7,0.3072,86.76,1.2254,67.32
one-shot,8,0.3051,86.94,1.2341,67.26
one-shot,9,0.3020,86.90,1.2234,67.44
one-shot,10,0.2996,87.10,1.2388,67.01
one-shot,11,0.2967,87.19,1.2187,67.36
one-shot,12,0.2975,87.03,1.2107,67.47
one-shot,13,0.2973,87.29,1.2166,67.46
one-shot,14,0.2957,87.20,1.2153,67.49
one-shot,15,0.2967,87.18,1.2176,67.48
one-shot,16,0.2939,87.17,1.2184,67.44
one-shot,17,0.2959,87.18,1.2295,67.04
one-shot,18,0.2941,87.20,1.2225,67.43
one-shot,19,0.2925,87.33,1.2253,67.55
one-shot,20,0.2940,87.26,1.2189,67.35
one-shot,21,0.2919,87.52,1.2177,67.64
one-shot,22,0.2917,87.40,1.2221,67.38
one-shot,23,0.2926,87.37,1.2179,67.56
one-shot,24,0.2918,87.44,1.2218,67.33
one-shot,25,0.2920,87.31,1.2232,67.31
one-shot,26,0.2923,87.34,1.2199,67.48
one-shot,27,0.2921,87.33,1.2195,67.32
one-shot,28,0.2895,87.54,1.2204,67.41
one-shot,29,0.2909,87.32,1.2094,67.45
one-shot,30,0.2915,87.22,1.2075,67.48
one-shot,31,0.2905,87.55,1.2293,67.48
one-shot,32,0.2901,87.41,1.2278,67.49
one-shot,33,0.2887,87.67,1.2296,67.16
one-shot,34,0.2933,87.42,1.2175,67.35
one-shot,35,0.2886,87.54,1.2243,67.37
one-shot,36,0.2899,87.57,1.2184,67.36
one-shot,37,0.2885,87.66,1.2137,67.81
one-shot,38,0.2894,87.31,1.2253,67.36
one-shot,39,0.2892,87.53,1.2223,67.17
one-shot,40,0.2898,87.32,1.2204,67.33
one-shot,41,0.2902,87.34,1.2173,67.57
one-shot,42,0.2902,87.35,1.2278,67.16
one-shot,43,0.2909,87.45,1.2310,67.32
one-shot,44,0.2882,87.56,1.2087,67.56
one-shot,45,0.2905,87.55,1.2237,67.51
one-shot,46,0.2897,87.69,1.2164,67.27
one-shot,47,0.2870,87.65,1.2246,67.25
one-shot,48,0.2894,87.45,1.2261,67.41
one-shot,49,0.2899,87.33,1.2331,67.09
one-shot,50,0.2935,87.35,1.2195,67.29
one-shot,51,0.2893,87.64,1.2264,67.23
one-shot,52,0.2893,87.58,1.2204,67.25
one-shot,53,0.2876,87.62,1.2181,67.42
one-shot,54,0.2887,87.60,1.2243,67.37
one-shot,55,0.2897,87.58,1.2307,67.58
one-shot,56,0.2871,87.83,1.2293,67.26
one-shot,57,0.2877,87.61,1.2139,67.61
one-shot,58,0.2870,87.68,1.2113,67.58
one-shot,59,0.2888,87.64,1.2242,67.64
one-shot,60,0.2862,87.67,1.2237,67.17
one-shot,61,0.2896,87.59,1.2111,67.60
one-shot,62,0.2869,87.79,1.2270,67.47
one-shot,63,0.2858,87.78,1.2285,67.50
one-shot,64,0.2876,87.66,1.2260,67.57
one-shot,65,0.2871,87.61,1.2167,67.46
one-shot,66,0.2862,87.84,1.2213,67.56
one-shot,67,0.2858,87.78,1.2267,67.63
one-shot,68,0.2858,87.64,1.2201,67.37
one-shot,69,0.2853,87.81,1.2230,67.47
one-shot,70,0.2878,87.70,1.2302,67.43
one-shot,71,0.2857,87.70,1.2142,67.71
one-shot,72,0.2852,87.92,1.2193,67.55
one-shot,73,0.2875,87.64,1.2192,67.52
one-shot,74,0.2853,87.61,1.2254,67.34
one-shot,75,0.2864,87.76,1.2159,67.54
one-shot,76,0.2835,87.96,1.2173,67.46
one-shot,77,0.2834,87.96,1.2113,67.49
one-shot,78,0.2861,87.89,1.2252,67.45
one-shot,79,0.2841,87.90,1.2217,67.57
one-shot,80,0.2845,87.93,1.2256,67.47
