phase,label,prune_ratio,sparsity,finetune_epochs,best_test_acc,final_test_acc
0,one-shot,0.420000,0.420003,200,90.70,90.70
1,iter-1,0.100000,0.478006,10,90.43,90.43
2,iter-2,0.100000,0.530211,10,90.29,90.29
3,iter-3,0.100000,0.577192,10,90.40,90.40
4,iter-4,0.053971,0.600016,10,90.28,90.28
