phase,epoch,train_loss,train_acc,test_loss,test_acc
one-shot,1,0.5054,95.77,0.3552,90.24
one-shot,2,0.3137,96.92,0.3274,90.92
one-shot,3,0.2804,97.25,0.3335,90.76
one-shot,4,0.2550,97.67,0.3210,91.05
one-shot,5,0.2431,97.63,0.3224,91.14
one-shot,6,0.2348,97.78,0.3373,90.78
one-shot,7,0.2309,97.74,0.3272,91.07
one-shot,8,0.2244,97.78,0.3237,90.77
one-shot,9,0.2229,97.87,0.3178,91.17
one-shot,10,0.2163,98.03,0.3303,90.85
one-shot,11,0.2105,98.06,0.3290,90.81
one-shot,12,0.2115,98.01,0.3292,90.79
one-shot,13,0.2074,98.08,0.3228,90.95
one-shot,14,0.2018,98.13,0.3208,90.83
one-shot,15,0.2021,98.20,0.3215,91.20
one-shot,16,0.2008,98.11,0.3236,91.14
one-shot,17,0.1996,98.26,0.3264,90.80
one-shot,18,0.1985,98.17,0.3306,90.89
one-shot,19,0.1964,98.26,0.3242,91.06
one-shot,20,0.1983,98.19,0.3171,91.15
one-shot,21,0.1964,98.25,0.3169,91.18
one-shot,22,0.1940,98.26,0.3172,91.14
one-shot,23,0.1950,98.27,0.3291,91.09
one-shot,24,0.1938,98.30,0.3241,91.20
one-shot,25,0.1942,98.32,0.3329,90.84
one-shot,26,0.1930,98.31,0.3222,90.89
one-shot,27,0.1888,98.42,0.3315,90.88
one-shot,28,0.1926,98.29,0.3182,91.02
one-shot,29,0.1900,98.35,0.3364,90.77
one-shot,30,0.1932,98.23,0.3273,90.96
one-shot,31,0.1915,98.27,0.3326,91.06
one-shot,32,0.1879,98.35,0.3429,90.67
one-shot,33,0.1904,98.26,0.3200,91.08
one-shot,34,0.1953,98.26,0.3375,90.92
one-shot,35,0.1923,98.35,0.3210,91.26
one-shot,36,0.1883,98.32,0.3629,90.40
one-shot,37,0.1863,98.40,0.3093,91.31
one-shot,38,0.1869,98.32,0.3387,90.78
one-shot,39,0.1864,98.40,0.3365,90.74
one-shot,40,0.1878,98.30,0.3069,91.36
one-shot,41,0.1866,98.38,0.3147,91.24
one-shot,42,0.1874,98.42,0.3260,90.99
one-shot,43,0.1846,98.36,0.3221,90.86
one-shot,44,0.1835,98.43,0.3241,90.83
one-shot,45,0.1840,98.45,0.3256,90.86
one-shot,46,0.1873,98.34,0.3192,91.44
one-shot,47,0.1859,98.40,0.3250,91.00
one-shot,48,0.1870,98.49,0.3248,90.82
