epoch,train_loss,train_acc,test_loss,test_acc
1,4.0290,7.90,3.7159,11.85
2,3.4603,16.55,3.3081,19.97
3,3.1027,22.75,3.1095,23.09
4,2.8021,28.10,3.0516,27.08
5,2.5655,33.07,2.9190,29.58
6,2.3853,36.82,2.6035,34.17
7,2.2293,40.08,2.6803,35.41
8,2.1067,42.92,2.3755,38.17
9,2.0011,45.18,2.2081,41.79
10,1.9288,46.97,2.1973,42.98
11,1.8500,48.80,2.2285,42.70
12,1.7895,50.36,2.2045,44.55
13,1.7340,51.66,2.0944,45.42
14,1.6913,52.89,2.1418,45.20
15,1.6568,53.44,2.0051,47.73
16,1.6207,54.41,1.9114,49.07
17,1.5878,55.25,1.9569,48.30
18,1.5591,56.05,1.8627,51.44
19,1.5259,56.79,1.8219,50.87
20,1.5092,57.05,1.8910,50.29
21,1.4848,57.79,1.8650,50.41
22,1.4673,58.20,1.8658,51.74
23,1.4477,58.66,1.8417,51.12
24,1.4241,59.62,1.7592,53.38
25,1.4151,59.54,1.8070,51.91
26,1.3949,60.16,1.8090,52.09
27,1.3777,60.47,2.0504,47.85
28,1.3836,59.94,1.7631,53.16
29,1.3564,61.20,1.8420,53.06
30,1.3448,61.30,1.7862,52.52
31,1.3274,61.93,1.9058,50.55
32,1.3174,61.99,1.9231,51.36
33,1.3147,61.87,1.9796,49.55
34,1.2998,62.38,1.9043,53.08
35,1.3015,62.58,1.6145,56.21
36,1.2903,62.66,1.7960,53.62
37,1.2752,62.98,1.9772,50.53
38,1.2751,62.94,1.8312,52.17
39,1.2596,63.49,1.9624,50.29
40,1.2587,63.20,1.7285,54.19
41,1.2454,63.84,1.7651,53.64
42,1.2373,63.95,1.7924,53.81
43,1.2422,63.66,1.9496,51.19
44,1.2327,64.40,1.8732,52.08
45,1.2313,64.23,1.7596,54.48
46,1.2160,64.66,1.9193,52.53
47,1.2101,64.66,1.7959,54.48
48,1.2078,64.84,1.9733,52.18
49,1.2036,65.04,1.7890,53.89
50,1.1938,64.79,1.9123,51.67
51,1.1917,65.18,1.7407,54.40
52,1.1878,65.02,1.8009,54.50
