phase,epoch,train_loss,train_acc,test_loss,test_acc
one-shot,1,0.5927,82.32,1.2430,66.72
one-shot,2,0.5699,83.47,1.2378,67.00
one-shot,3,0.5573,83.70,1.2308,67.16
one-shot,4,0.5557,83.68,1.2330,67.25
one-shot,5,0.5504,83.94,1.2263,67.37
one-shot,6,0.5486,84.00,1.2367,67.03
one-shot,7,0.5411,84.15,1.2335,67.25
one-shot,8,0.5389,84.25,1.2345,66.87
one-shot,9,0.5364,84.15,1.2284,67.27
one-shot,10,0.5375,84.20,1.2273,67.43
one-shot,11,0.5363,84.18,1.2284,67.39
one-shot,12,0.5322,84.40,1.2329,67.02
one-shot,13,0.5253,84.42,1.2236,67.33
one-shot,14,0.5270,84.59,1.2318,67.09
one-shot,15,0.5279,84.49,1.2391,67.32
one-shot,16,0.5229,84.57,1.2290,67.02
one-shot,17,0.5229,84.71,1.2366,67.34
one-shot,18,0.5224,84.88,1.2383,67.38
one-shot,19,0.5191,84.92,1.2385,67.43
one-shot,20,0.5213,84.79,1.2271,67.16
one-shot,21,0.5129,85.07,1.2338,67.31
one-shot,22,0.5164,84.85,1.2247,67.41
one-shot,23,0.5117,85.04,1.2304,67.38
one-shot,24,0.5118,84.96,1.2337,67.42
one-shot,25,0.5112,85.01,1.2380,67.19
one-shot,26,0.5100,84.99,1.2508,67.12
one-shot,27,0.5083,85.10,1.2411,67.33
one-shot,28,0.5105,85.03,1.2393,67.32
one-shot,29,0.5011,85.27,1.2385,67.18
one-shot,30,0.5064,85.29,1.2412,67.38
one-shot,31,0.5108,85.05,1.2479,67.05
one-shot,32,0.5095,85.08,1.2407,67.20
one-shot,33,0.5042,85.33,1.2487,67.24
one-shot,34,0.5039,85.16,1.2495,67.06
one-shot,35,0.5009,85.23,1.2450,67.23
one-shot,36,0.4978,85.39,1.2465,67.26
one-shot,37,0.4981,85.32,1.2526,67.33
one-shot,38,0.4996,85.29,1.2543,67.21
one-shot,39,0.4992,85.50,1.2516,67.08
one-shot,40,0.4969,85.53,1.2416,67.40
one-shot,41,0.4963,85.40,1.2405,67.13
one-shot,42,0.4970,85.37,1.2460,67.32
one-shot,43,0.4994,85.36,1.2461,67.33
one-shot,44,0.5013,85.36,1.2461,66.98
one-shot,45,0.4993,85.24,1.2467,67.16
one-shot,46,0.4963,85.63,1.2607,67.33
one-shot,47,0.4978,85.46,1.2559,67.00
one-shot,48,0.4887,85.72,1.2578,67.24
one-shot,49,0.4885,85.79,1.2492,67.18
one-shot,50,0.4879,85.67,1.2616,67.05
one-shot,51,0.4884,85.71,1.2513,67.15
one-shot,52,0.4839,85.63,1.2569,67.19
one-shot,53,0.4867,85.75,1.2637,67.15
one-shot,54,0.4894,85.55,1.2438,67.55
one-shot,55,0.4869,85.76,1.2557,66.85
one-shot,56,0.4891,85.55,1.2536,67.11
one-shot,57,0.4758,86.22,1.2456,67.00
one-shot,58,0.4835,85.95,1.2594,67.16
one-shot,59,0.4823,85.80,1.2627,67.11
one-shot,60,0.4799,86.00,1.2602,67.16
one-shot,61,0.4845,85.94,1.2629,67.06
one-shot,62,0.4830,85.85,1.2611,66.85
one-shot,63,0.4757,86.30,1.2490,67.35
one-shot,64,0.4773,86.12,1.2506,67.31
one-shot,65,0.4754,86.08,1.2619,66.90
one-shot,66,0.4788,86.00,1.2705,66.67
one-shot,67,0.4810,85.64,1.2619,66.93
one-shot,68,0.4754,86.19,1.2608,66.93
one-shot,69,0.4802,85.98,1.2732,66.83
one-shot,70,0.4698,86.22,1.2579,67.13
one-shot,71,0.4726,86.27,1.2601,66.99
one-shot,72,0.4706,86.14,1.2681,66.64
one-shot,73,0.4681,86.27,1.2640,67.25
one-shot,74,0.4694,86.27,1.2569,67.11
one-shot,75,0.4738,86.20,1.2659,67.14
one-shot,76,0.4720,86.06,1.2598,67.07
one-shot,77,0.4681,86.34,1.2669,67.03
one-shot,78,0.4717,86.34,1.2662,67.21
one-shot,79,0.4664,86.31,1.2693,67.21
one-shot,80,0.4705,86.35,1.2690,67.12
one-shot,81,0.4679,86.20,1.2701,67.31
one-shot,82,0.4648,86.65,1.2611,66.88
one-shot,83,0.4664,86.38,1.2743,66.78
one-shot,84,0.4649,86.41,1.2761,66.76
one-shot,85,0.4688,86.38,1.2796,66.65
one-shot,86,0.4624,86.63,1.2694,66.78
one-shot,87,0.4622,86.60,1.2830,66.80
one-shot,88,0.4661,86.48,1.2815,67.02
one-shot,89,0.4589,86.65,1.2628,66.92
one-shot,90,0.4599,86.54,1.2654,67.06
