phase,epoch,train_loss,train_acc,test_loss,test_acc
search,1,4.0686,6.96,4.0424,8.90
search,2,3.5475,14.62,3.4323,17.24
search,3,3.1839,20.84,3.3199,20.03
search,4,2.8645,26.83,3.0658,26.46
search,5,2.6044,32.29,2.7710,31.01
search,6,2.3989,36.48,2.5199,34.17
search,7,2.2299,39.78,2.6109,34.66
search,8,2.0866,43.30,2.2977,40.30
search,9,1.9789,45.59,2.0551,44.63
search,10,1.8832,47.98,2.2309,41.52
finetune,1,4.2274,5.40,4.3920,6.41
finetune,2,3.6881,12.78,4.2015,9.90
finetune,3,3.4360,17.42,3.6609,14.17
finetune,4,3.2712,20.73,3.4192,17.92
finetune,5,3.1602,22.36,3.9162,14.65
finetune,6,3.0839,24.00,3.4221,19.61
finetune,7,3.0202,25.18,3.5330,19.45
finetune,8,2.9734,26.04,3.1847,22.47
finetune,9,2.9231,27.13,3.3383,21.63
finetune,10,2.8863,27.81,3.2238,23.95
finetune,11,2.8638,28.35,3.3369,21.22
finetune,12,2.8183,28.98,3.4129,22.18
finetune,13,2.7941,29.80,3.0473,25.89
finetune,14,2.7657,30.50,3.4548,22.28
finetune,15,2.7338,30.78,3.1306,24.31
finetune,16,2.7225,31.28,3.0971,25.08
finetune,17,2.6935,31.78,3.3887,22.15
finetune,18,2.6778,32.20,2.8583,29.37
finetune,19,2.6665,32.40,4.1601,16.06
finetune,20,2.6409,32.82,3.0774,25.64
finetune,21,2.6340,33.01,3.0725,26.22
finetune,22,2.6238,33.42,2.7484,31.04
finetune,23,2.6003,33.66,3.2840,24.62
finetune,24,2.5897,34.07,3.0624,26.70
finetune,25,2.5758,34.04,3.2473,24.04
finetune,26,2.5593,34.57,3.6385,19.73
finetune,27,2.5501,34.76,2.9124,28.85
finetune,28,2.5373,35.08,2.9190,29.73
finetune,29,2.5274,35.02,2.8130,30.50
finetune,30,2.5274,35.19,2.9624,27.46
finetune,31,2.5158,35.38,2.8340,29.77
finetune,32,2.5033,35.70,3.0478,27.33
finetune,33,2.5094,35.56,3.1289,26.53
finetune,34,2.4870,36.40,2.8680,29.75
finetune,35,2.4787,36.62,2.8054,30.05
finetune,36,2.4701,36.36,2.8870,28.29
finetune,37,2.4687,36.63,2.6746,33.10
finetune,38,2.4624,36.65,3.1486,26.68
finetune,39,2.4554,36.68,2.7251,31.96
finetune,40,2.4454,37.27,2.7960,31.07
finetune,41,2.4380,37.21,3.0676,26.81
finetune,42,2.4408,37.19,3.1805,27.06
finetune,43,2.4310,37.10,2.8387,29.45
finetune,44,2.4297,37.19,3.2324,24.90
finetune,45,2.4316,37.29,2.8437,30.91
finetune,46,2.4253,37.44,2.8585,28.64
finetune,47,2.4104,37.80,2.8097,30.70
finetune,48,2.4108,37.72,2.9332,30.38
finetune,49,2.4102,37.79,2.6535,33.63
finetune,50,2.4083,37.52,2.9301,28.88
finetune,51,2.3949,38.14,2.7629,32.26
finetune,52,2.3992,37.98,2.8623,30.61
finetune,53,2.4014,37.98,2.7136,32.17
finetune,54,2.3899,37.98,2.6465,33.95
finetune,55,2.3862,38.34,3.1479,28.29
finetune,56,2.3901,37.90,2.8059,31.42
finetune,57,2.3769,38.54,3.0406,28.24
finetune,58,2.3748,38.72,3.0631,28.45
finetune,59,2.3738,38.34,4.3749,17.12
finetune,60,2.3640,38.73,2.6497,33.92
finetune,61,2.3750,38.49,2.6401,33.56
finetune,62,2.3660,38.98,2.7468,32.10
finetune,63,2.3635,39.15,2.9095,30.28
finetune,64,2.3660,38.78,3.2297,25.73
finetune,65,2.3583,38.81,2.5756,34.89
finetune,66,2.3575,38.77,2.6713,33.67
finetune,67,2.3561,38.96,3.0254,30.31
finetune,68,2.3544,38.99,2.7449,32.20
finetune,69,2.3505,39.13,2.9542,29.92
finetune,70,2.3496,39.04,2.9144,29.93
finetune,71,2.3441,39.22,3.0072,29.98
finetune,72,2.3548,39.18,2.8842,31.08
finetune,73,2.3399,39.47,2.6754,33.56
finetune,74,2.3496,39.16,3.3004,26.77
finetune,75,2.3348,39.52,2.5644,35.43
finetune,76,2.3396,39.40,3.0052,30.21
finetune,77,2.3354,39.52,3.0598,28.03
finetune,78,2.3331,39.34,2.8274,31.73
finetune,79,2.3321,39.95,2.6508,34.81
finetune,80,2.3299,39.48,2.9171,29.79
finetune,81,2.2119,42.72,2.2885,40.39
finetune,82,2.1882,43.05,2.2707,40.98
finetune,83,2.1837,43.28,2.2623,40.89
