phase,epoch,train_loss,train_acc,test_loss,test_acc
one-shot,1,0.5189,84.90,1.2277,67.42
one-shot,2,0.5138,84.95,1.2338,67.09
one-shot,3,0.5083,85.34,1.2305,67.14
one-shot,4,0.5091,85.24,1.2366,67.35
one-shot,5,0.5096,85.28,1.2238,67.63
one-shot,6,0.5080,85.27,1.2379,67.35
one-shot,7,0.5065,85.24,1.2312,67.55
one-shot,8,0.5027,85.30,1.2359,67.40
one-shot,9,0.5006,85.52,1.2331,67.62
one-shot,10,0.4975,85.45,1.2285,67.77
one-shot,11,0.4999,85.57,1.2417,67.53
one-shot,12,0.4993,85.34,1.2318,67.58
one-shot,13,0.4986,85.19,1.2328,67.45
one-shot,14,0.4981,85.50,1.2349,67.77
one-shot,15,0.4963,85.54,1.2461,67.41
one-shot,16,0.4933,85.61,1.2442,67.40
one-shot,17,0.4903,85.70,1.2397,67.36
one-shot,18,0.4959,85.51,1.2449,67.49
one-shot,19,0.4888,85.81,1.2460,67.17
one-shot,20,0.4894,85.86,1.2404,67.09
one-shot,21,0.4869,85.73,1.2455,67.44
one-shot,22,0.4867,85.85,1.2433,67.23
one-shot,23,0.4824,85.89,1.2486,66.84
one-shot,24,0.4832,85.87,1.2489,67.17
one-shot,25,0.4874,85.76,1.2582,67.13
one-shot,26,0.4858,85.80,1.2413,67.42
one-shot,27,0.4806,86.00,1.2389,67.33
one-shot,28,0.4828,85.88,1.2473,67.27
one-shot,29,0.4773,86.20,1.2529,67.13
one-shot,30,0.4777,86.23,1.2561,67.19
one-shot,31,0.4822,85.82,1.2514,67.14
one-shot,32,0.4782,86.12,1.2543,67.43
one-shot,33,0.4797,86.00,1.2487,67.62
one-shot,34,0.4738,86.39,1.2530,67.20
one-shot,35,0.4707,86.22,1.2574,67.05
one-shot,36,0.4729,86.28,1.2529,67.29
one-shot,37,0.4702,86.35,1.2638,67.27
one-shot,38,0.4721,86.44,1.2583,67.55
one-shot,39,0.4672,86.40,1.2645,66.94
one-shot,40,0.4717,86.15,1.2625,67.14
one-shot,41,0.4651,86.57,1.2598,67.02
one-shot,42,0.4685,86.35,1.2633,67.16
one-shot,43,0.4720,86.12,1.2565,67.32
one-shot,44,0.4660,86.52,1.2601,66.94
one-shot,45,0.4657,86.41,1.2718,66.93
one-shot,46,0.4644,86.51,1.2669,67.05
one-shot,47,0.4661,86.29,1.2704,66.80
one-shot,48,0.4633,86.44,1.2599,67.13
one-shot,49,0.4596,86.72,1.2703,67.11
one-shot,50,0.4563,86.66,1.2721,67.21
one-shot,51,0.4615,86.50,1.2737,67.18
one-shot,52,0.4573,86.70,1.2643,67.46
one-shot,53,0.4577,86.82,1.2765,67.02
one-shot,54,0.4580,86.75,1.2659,66.90
one-shot,55,0.4564,86.66,1.2695,67.11
one-shot,56,0.4583,86.75,1.2699,67.43
one-shot,57,0.4544,86.74,1.2718,66.95
one-shot,58,0.4523,87.01,1.2654,67.07
one-shot,59,0.4481,86.88,1.2737,67.02
one-shot,60,0.4522,86.84,1.2724,67.16
one-shot,61,0.4534,86.82,1.2887,67.25
one-shot,62,0.4505,86.96,1.2758,66.99
one-shot,63,0.4501,86.76,1.2647,67.01
one-shot,64,0.4470,87.27,1.2688,67.18
one-shot,65,0.4448,87.14,1.2788,67.10
one-shot,66,0.4480,86.89,1.2796,67.06
one-shot,67,0.4471,86.90,1.2728,67.24
one-shot,68,0.4443,87.08,1.2818,67.05
one-shot,69,0.4438,87.13,1.2771,66.82
one-shot,70,0.4422,87.19,1.2754,67.57
one-shot,71,0.4405,87.23,1.2800,67.11
one-shot,72,0.4415,87.16,1.2827,67.15
one-shot,73,0.4385,87.37,1.2796,67.22
one-shot,74,0.4353,87.46,1.2728,66.87
one-shot,75,0.4373,87.36,1.2831,67.26
one-shot,76,0.4362,87.41,1.2829,66.93
one-shot,77,0.4382,87.19,1.2880,66.95
one-shot,78,0.4372,87.21,1.2827,66.95
one-shot,79,0.4373,87.11,1.2844,67.03
one-shot,80,0.4364,87.40,1.2901,67.05
one-shot,81,0.4368,87.18,1.2883,66.73
one-shot,82,0.4309,87.46,1.2797,67.36
one-shot,83,0.4340,87.42,1.2908,66.80
one-shot,84,0.4342,87.24,1.2856,66.71
one-shot,85,0.4359,87.23,1.2884,66.73
one-shot,86,0.4346,87.37,1.2886,67.12
one-shot,87,0.4283,87.70,1.2873,67.00
one-shot,88,0.4318,87.49,1.2942,66.97
one-shot,89,0.4248,87.65,1.2788,66.89
one-shot,90,0.4278,87.59,1.2804,66.93
one-shot,91,0.4274,87.52,1.2905,67.05
one-shot,92,0.4260,87.69,1.2810,67.34
one-shot,93,0.4240,87.73,1.2877,67.18
one-shot,94,0.4236,87.55,1.2822,67.39
one-shot,95,0.4218,87.78,1.2847,67.36
one-shot,96,0.4212,87.95,1.2957,67.13
one-shot,97,0.4203,87.88,1.2947,66.78
one-shot,98,0.4198,87.86,1.2940,67.26
one-shot,99,0.4232,87.83,1.2780,67.32
one-shot,100,0.4201,87.84,1.2933,67.41
one-shot,101,0.4212,87.98,1.2909,67.11
one-shot,102,0.4197,87.89,1.2967,67.12
one-shot,103,0.4145,88.06,1.2962,66.71
one-shot,104,0.4132,88.12,1.2904,67.05
one-shot,105,0.4139,88.09,1.3029,67.00
one-shot,106,0.4154,88.08,1.2900,67.38
one-shot,107,0.4119,88.00,1.2939,67.20
one-shot,108,0.4138,88.02,1.2932,67.03
one-shot,109,0.4126,88.03,1.2927,66.90
one-shot,110,0.4127,88.09,1.2864,67.24
one-shot,111,0.4128,88.24,1.2927,67.13
one-shot,112,0.4116,88.21,1.2857,67.24
one-shot,113,0.4062,88.38,1.2894,67.22
one-shot,114,0.4084,88.05,1.3021,66.83
one-shot,115,0.4115,88.24,1.2932,67.11
one-shot,116,0.4109,88.08,1.2922,67.09
one-shot,117,0.4112,88.12,1.2945,67.16
