epoch,train_loss,train_acc,test_loss,test_acc
1,4.0643,7.22,3.7375,11.96
2,3.4934,15.58,3.3500,17.43
3,3.1073,22.25,3.1313,22.08
4,2.8006,28.04,3.1566,22.51
5,2.5552,33.02,2.7442,32.14
6,2.3590,37.34,2.3727,37.01
7,2.1982,40.61,2.4344,37.72
8,2.0819,43.17,2.4134,38.92
9,1.9878,45.66,2.1296,43.26
10,1.9046,47.44,2.0664,44.96
11,1.8381,49.30,2.6952,37.79
12,1.7879,50.20,1.9773,47.44
13,1.7328,51.76,2.1034,44.96
14,1.6909,52.86,1.9527,48.56
15,1.6544,53.45,2.2116,43.58
16,1.6197,54.47,1.8344,50.75
17,1.5878,55.34,2.0422,46.85
18,1.5660,55.73,1.7754,51.56
19,1.5316,56.71,1.9359,49.57
20,1.5095,57.20,1.8520,50.41
21,1.4794,58.20,1.9143,50.01
22,1.4629,58.30,1.7133,53.23
23,1.4482,58.65,1.8269,50.85
24,1.4237,59.23,1.8433,52.09
25,1.4104,59.50,1.8181,51.59
26,1.4118,59.56,1.8662,52.46
27,1.3775,60.39,1.7369,53.66
28,1.3713,60.54,1.8792,50.30
29,1.3545,60.74,1.9325,51.31
30,1.3384,61.31,1.9661,50.96
31,1.3346,61.76,1.9105,50.53
32,1.3125,62.31,1.8074,52.46
33,1.3064,62.24,1.9124,52.09
34,1.3027,62.41,1.8316,52.34
35,1.2905,62.67,1.7440,53.20
36,1.2777,62.88,1.8178,52.20
37,1.2764,63.07,1.9982,50.42
38,1.2657,63.28,1.9759,49.72
39,1.2642,63.28,1.8426,52.06
40,1.2503,63.82,1.7047,55.07
41,1.2465,63.96,1.8888,52.20
42,1.2450,63.51,1.8324,53.44
43,1.2330,63.98,1.6856,56.14
44,1.2282,64.15,1.8547,52.91
45,1.2136,64.76,1.6722,56.74
46,1.2100,64.70,1.7403,54.11
47,1.2046,64.83,1.8578,51.44
48,1.1911,65.09,1.7354,54.92
49,1.1990,64.86,1.7575,54.50
50,1.1833,65.39,1.7579,54.65
51,1.1838,65.34,1.6874,55.64
52,1.1827,65.36,1.7487,54.81
53,1.1840,65.44,1.7196,55.41
54,1.1707,65.77,1.7841,54.55
