epoch,train_loss,train_acc,test_loss,test_acc
1,4.0653,7.10,3.7361,10.99
2,3.5108,15.12,3.4824,17.32
3,3.1147,22.06,3.5337,17.84
4,2.7898,28.24,3.1971,23.01
5,2.5819,32.51,2.7446,31.56
6,2.4031,36.57,2.7018,32.10
7,2.2662,39.25,2.8684,30.47
8,2.1477,41.91,2.2534,40.47
9,2.0536,44.17,2.2711,39.88
10,1.9771,45.71,2.4054,39.65
11,1.9124,47.32,2.1428,43.32
12,1.8692,48.45,2.1657,43.00
13,1.8082,49.94,2.1777,43.77
14,1.7649,50.96,2.2087,43.08
15,1.7339,52.00,2.1879,44.08
16,1.6986,52.76,2.1084,46.79
17,1.6713,53.30,2.0131,47.16
18,1.6478,53.39,2.0552,46.70
19,1.6208,54.60,2.3267,43.07
20,1.6017,54.77,1.9140,48.77
21,1.5705,55.57,2.1453,46.30
22,1.5529,55.81,1.9235,49.36
23,1.5381,56.33,1.9089,49.91
24,1.5188,56.93,1.7775,51.63
25,1.5151,56.80,1.9011,49.25
26,1.5019,57.35,1.9861,49.02
27,1.4778,57.73,1.8526,50.92
28,1.4692,57.88,2.0476,47.44
29,1.4557,58.37,1.9819,49.21
30,1.4417,58.94,1.9611,50.34
31,1.4345,59.01,2.2870,46.40
32,1.4253,59.16,1.8749,51.27
33,1.4125,59.61,2.0250,49.03
34,1.4105,59.58,1.9459,49.55
35,1.4007,60.01,1.9005,50.51
36,1.3846,59.98,1.8868,50.65
37,1.3825,60.24,1.8508,51.59
38,1.3686,60.67,1.8166,52.30
39,1.3700,60.48,2.0072,48.77
40,1.3644,60.63,1.7471,53.72
41,1.3567,60.86,1.8624,52.38
42,1.3535,60.78,1.9300,51.30
43,1.3493,61.32,1.8160,52.66
44,1.3442,61.31,1.7514,53.59
45,1.3355,61.52,1.9222,51.56
46,1.3264,61.53,1.8555,52.06
47,1.3258,61.36,1.6883,54.46
48,1.3099,62.10,1.7897,54.30
49,1.3111,62.25,1.8440,52.74
50,1.3127,61.95,1.8178,52.98
51,1.3116,62.24,1.7243,54.92
52,1.2977,62.50,1.9214,51.18
53,1.3012,62.29,1.8126,52.10
54,1.2915,62.56,1.8296,53.07
55,1.2944,62.49,1.8183,52.54
56,1.2901,62.63,2.0714,47.69
57,1.2812,62.84,1.7847,53.87
58,1.2855,62.90,1.8021,53.45
59,1.2701,63.10,1.8839,53.02
60,1.2802,62.74,1.8791,52.63
61,1.2688,63.03,2.1670,48.53
62,1.2602,63.44,1.8657,52.56
63,1.2636,63.16,1.8426,52.55
64,1.2653,63.06,1.6932,54.44
65,1.2603,63.27,1.7933,53.06
