phase,epoch,train_loss,train_acc,test_loss,test_acc
dense_training,127,0.0553,98.35,0.2687,92.21
dense_training,128,0.0522,98.52,0.2684,92.26
dense_training,129,0.0481,98.76,0.2723,92.02
dense_training,130,0.0487,98.63,0.2718,92.11
dense_training,131,0.0489,98.62,0.2736,92.00
dense_training,132,0.0459,98.82,0.2702,92.04
dense_training,133,0.0443,98.86,0.2697,92.25
dense_training,134,0.0453,98.82,0.2729,92.14
dense_training,135,0.0448,98.77,0.2733,92.12
dense_training,136,0.0443,98.90,0.2726,92.06
dense_training,137,0.0428,98.94,0.2735,92.17
dense_training,138,0.0418,98.92,0.2714,92.28
dense_training,139,0.0409,99.03,0.2747,92.29
dense_training,140,0.0389,99.04,0.2733,92.23
dense_training,141,0.0395,99.00,0.2783,91.95
dense_training,142,0.0396,98.97,0.2788,92.04
dense_training,143,0.0378,99.13,0.2748,92.08
dense_training,144,0.0376,99.06,0.2768,91.96
dense_training,145,0.0370,99.13,0.2830,91.97
dense_training,146,0.0375,99.10,0.2822,92.08
dense_training,147,0.0363,99.10,0.2815,91.99
dense_training,148,0.0355,99.15,0.2811,92.00
dense_training,149,0.0360,99.12,0.2870,91.92
dense_training,150,0.0350,99.20,0.2822,92.06
dense_training,151,0.0346,99.16,0.2810,92.21
dense_training,152,0.0344,99.17,0.2792,92.19
dense_training,153,0.0332,99.22,0.2844,92.00
dense_training,154,0.0337,99.20,0.2854,92.10
dense_training,155,0.0333,99.22,0.2890,91.93
dense_training,156,0.0330,99.22,0.2851,92.03
dense_training,157,0.0320,99.26,0.2860,91.99
dense_training,158,0.0332,99.16,0.2873,92.11
dense_training,159,0.0313,99.31,0.2871,91.96
dense_training,160,0.0309,99.33,0.2909,91.99
