step,label,prune_ratio,sparsity_after_prune,finetune_epochs_run,finetune_max_epochs,finetune_patience,best_test_acc,final_test_acc
0,one-shot,0.2100,0.2100,200,200,200,64.13,64.13
1,iter-1,0.1000,0.2890,10,10,10,64.69,64.69
2,iter-2,0.0155,0.3000,10,10,10,64.51,64.51
