epoch,train_loss,train_acc,test_loss,test_acc
1,4.1913,5.79,3.8926,8.84
2,3.6566,13.02,3.4953,16.12
3,3.3146,18.96,3.2531,21.84
4,3.0357,24.06,3.1191,24.30
5,2.7822,29.18,3.0618,27.51
6,2.5533,33.59,2.7238,31.72
7,2.3677,37.34,2.3770,38.16
8,2.2224,40.34,2.2934,40.27
9,2.0972,43.37,2.4219,38.61
10,1.9983,45.33,2.2827,41.20
11,1.9243,47.24,2.1997,43.07
12,1.8554,48.98,2.1900,43.93
13,1.8014,50.24,2.0321,45.78
14,1.7472,51.58,2.0787,45.99
15,1.7100,52.41,2.0576,46.03
16,1.6633,53.44,1.9074,49.12
17,1.6341,54.32,2.1386,45.85
18,1.6010,54.96,1.8272,51.08
19,1.5710,55.73,2.0330,47.79
20,1.5546,56.12,1.9167,49.70
21,1.5212,56.95,1.9741,49.63
22,1.5068,57.15,1.8528,50.93
23,1.4796,57.79,1.8281,52.00
24,1.4688,58.32,2.0826,47.55
25,1.4453,58.90,1.8906,50.86
26,1.4233,59.50,1.7865,52.73
27,1.4126,59.88,1.8968,50.96
28,1.3994,59.82,1.8165,52.30
29,1.3913,60.04,1.7728,53.02
30,1.3721,60.79,1.8089,51.60
31,1.3741,60.66,1.7332,53.09
32,1.3556,60.99,1.8331,51.93
33,1.3407,61.30,1.8504,52.02
34,1.3339,61.46,1.8518,52.29
35,1.3185,61.93,1.7690,53.15
36,1.3092,62.28,1.8558,51.98
37,1.3046,62.59,1.9222,50.58
38,1.2925,62.67,1.9151,50.81
39,1.2946,62.46,1.8877,52.31
40,1.2846,62.88,1.8455,52.87
41,1.2613,63.36,1.8284,52.88
42,1.2628,63.55,1.7014,54.44
43,1.2597,63.60,1.7365,54.26
44,1.2512,63.82,1.7664,54.03
45,1.2488,63.70,1.7832,53.73
46,1.2532,63.84,1.8717,53.17
47,1.2344,64.13,1.7418,54.28
48,1.2323,64.33,1.6553,55.83
49,1.2240,64.38,1.7904,54.38
50,1.2247,64.28,1.7441,55.52
51,1.2151,64.79,1.8663,52.52
52,1.2141,64.69,1.8632,53.03
53,1.2078,65.00,1.7032,55.60
54,1.2080,64.86,1.8740,52.39
55,1.2039,64.97,1.9079,53.02
56,1.1908,65.23,1.8155,53.15
57,1.1874,65.29,1.8029,53.84
58,1.1878,65.18,1.7403,54.84
59,1.1868,65.34,2.2015,48.46
60,1.1742,65.84,1.8739,52.69
61,1.1735,65.58,1.7454,54.89
62,1.1757,65.64,1.9334,52.49
63,1.1728,65.75,1.9312,52.18
64,1.1691,65.85,1.8237,53.61
65,1.1635,65.83,1.8242,54.19
66,1.1544,66.12,1.8693,52.87
67,1.1559,66.15,1.9381,51.89
68,1.1508,66.29,1.8485,54.16
69,1.1505,66.25,1.7467,55.67
70,1.1498,66.11,1.8642,53.71
71,1.1479,66.17,1.9139,52.72
72,1.1348,66.73,1.7900,55.54
73,1.1356,66.49,1.8923,53.60
74,1.1379,66.58,1.8413,53.09
75,1.1393,66.40,1.8482,53.85
76,1.1286,66.81,1.8959,53.19
77,1.1229,67.14,1.9334,52.70
78,1.1294,67.05,1.8595,53.85
79,1.1180,67.06,1.7668,54.51
80,1.1139,67.27,1.7903,55.62
81,0.8669,74.52,1.3385,63.90
82,0.7927,76.60,1.3316,64.12
83,0.7676,77.28,1.3167,64.64
84,0.7450,78.00,1.3176,64.89
85,0.7326,78.26,1.3327,64.88
86,0.7240,78.44,1.3324,64.56
87,0.7141,78.84,1.3384,64.76
88,0.7058,78.90,1.3435,64.75
89,0.6956,78.95,1.3425,64.83
90,0.6908,79.33,1.3589,64.46
91,0.6768,79.78,1.3776,64.23
92,0.6759,79.64,1.3745,64.47
93,0.6723,79.91,1.3717,64.56
94,0.6643,80.00,1.3665,64.36
95,0.6632,80.04,1.3796,64.48
96,0.6579,79.97,1.3877,64.40
97,0.6481,80.47,1.3907,64.49
98,0.6501,80.28,1.3875,64.06
99,0.6438,80.45,1.3886,64.53
100,0.6401,80.65,1.3928,64.44
101,0.6386,80.78,1.3966,64.44
102,0.6354,80.59,1.4122,63.92
103,0.6356,80.72,1.4281,64.20
104,0.6343,80.72,1.4322,64.00
105,0.6266,80.96,1.4342,63.79
106,0.6236,80.88,1.4256,64.10
107,0.6215,80.95,1.4260,64.43
108,0.6214,81.01,1.4260,64.11
109,0.6094,81.42,1.4482,64.07
110,0.6056,81.47,1.4462,63.91
111,0.6127,81.26,1.4489,64.03
112,0.6027,81.52,1.4521,63.62
113,0.6046,81.62,1.4602,63.80
114,0.5978,81.60,1.4731,63.95
115,0.6038,81.51,1.4687,63.86
116,0.5983,81.46,1.4497,63.85
117,0.5975,81.74,1.4906,63.94
118,0.5970,81.58,1.4732,63.75
119,0.5965,81.57,1.4637,63.63
120,0.5878,81.85,1.5025,63.26
121,0.5467,83.27,1.4553,64.06
122,0.5401,83.56,1.4494,64.50
123,0.5342,83.85,1.4472,64.29
124,0.5320,83.70,1.4466,64.36
125,0.5261,83.90,1.4527,64.43
126,0.5276,83.88,1.4454,64.66
127,0.5273,83.92,1.4457,64.56
128,0.5222,84.00,1.4489,64.50
129,0.5239,84.06,1.4424,64.65
130,0.5259,84.00,1.4445,64.49
131,0.5244,83.83,1.4456,64.35
132,0.5251,84.03,1.4551,64.46
133,0.5204,83.98,1.4517,64.71
134,0.5199,84.20,1.4534,64.57
135,0.5150,84.31,1.4570,64.46
136,0.5197,84.36,1.4533,64.44
137,0.5148,84.31,1.4530,64.35
138,0.5170,84.14,1.4563,64.42
139,0.5160,84.13,1.4577,64.53
140,0.5144,84.36,1.4552,64.48
141,0.5171,84.25,1.4546,64.29
142,0.5138,84.35,1.4619,64.37
143,0.5160,84.27,1.4614,64.54
144,0.5135,84.32,1.4552,64.49
145,0.5146,84.25,1.4648,64.51
146,0.5122,84.33,1.4619,64.39
147,0.5155,84.30,1.4606,64.39
148,0.5100,84.50,1.4636,64.22
149,0.5137,84.26,1.4575,64.33
150,0.5086,84.56,1.4642,64.38
151,0.5115,84.35,1.4641,64.30
152,0.5063,84.62,1.4666,64.42
153,0.5068,84.65,1.4669,64.20
154,0.5093,84.32,1.4748,64.16
