iteration,sparsity,remaining_weights,test_accuracy,test_loss,train_accuracy,train_loss
0,0.0000,1.0000,67.88,1.2037,85.38,0.5119
1,0.1674,0.8326,66.94,1.2189,83.86,0.5606
2,0.3069,0.6931,66.47,1.2176,82.16,0.6165
3,0.4229,0.5771,66.00,1.2325,79.98,0.6928
4,0.5196,0.4804,65.61,1.2280,78.79,0.7320
5,0.6000,0.4000,64.50,1.2835,75.98,0.8210
