epoch,train_loss,train_acc,test_loss,test_acc
1,1.9599,29.10,1.6337,38.14
2,1.5571,42.28,1.4789,46.25
3,1.3155,51.86,1.2110,56.12
4,1.1102,60.24,1.1364,59.62
5,0.9705,65.39,0.9905,65.76
6,0.8734,69.24,0.9614,67.48
7,0.7977,71.84,0.9567,68.52
8,0.7401,74.23,0.8255,71.47
9,0.6939,75.87,0.7326,75.32
10,0.6615,77.06,0.8956,70.63
11,0.6317,77.95,1.3011,62.92
12,0.6116,78.66,0.6953,76.32
13,0.5873,79.64,0.7170,76.44
14,0.5704,80.22,0.6648,77.53
15,0.5540,80.77,0.6759,77.98
16,0.5330,81.63,0.6708,77.80
17,0.5271,81.67,0.8075,72.62
18,0.5125,82.10,0.7211,76.90
19,0.5044,82.61,0.6663,78.59
20,0.4897,83.05,0.6807,78.11
21,0.4851,83.09,0.5934,80.85
22,0.4743,83.54,0.6021,80.31
23,0.4625,83.80,0.6315,79.77
24,0.4550,84.24,0.7709,77.14
25,0.4519,84.16,0.5282,82.37
26,0.4459,84.30,0.6426,79.48
27,0.4389,84.76,0.7533,75.71
28,0.4295,85.02,0.6021,79.99
29,0.4251,85.14,0.5187,82.48
30,0.4221,85.38,0.6902,79.24
31,0.4184,85.30,0.6709,77.88
32,0.4155,85.50,0.5729,80.92
33,0.4096,85.57,0.6249,79.33
34,0.4020,86.03,0.5818,81.74
35,0.3916,86.33,0.6132,80.90
36,0.3959,86.19,0.4888,83.40
37,0.3899,86.23,0.5158,83.07
38,0.3931,86.20,0.6209,79.98
39,0.3882,86.50,0.5861,81.00
40,0.3807,86.64,0.5556,82.39
41,0.3797,86.58,0.7464,78.33
42,0.3731,86.94,0.5535,82.06
43,0.3745,86.72,0.5728,81.16
44,0.3728,86.91,0.5318,82.50
45,0.3639,87.09,0.6319,80.11
46,0.3671,87.14,0.6271,79.61
47,0.3683,87.11,0.5082,83.53
48,0.3634,87.31,0.5099,83.74
49,0.3589,87.45,0.5879,81.84
50,0.3556,87.54,0.5328,82.76
51,0.3517,87.66,0.5478,82.61
52,0.3479,87.71,0.5091,83.45
53,0.3497,87.69,0.5222,83.54
54,0.3511,87.86,0.5681,82.46
55,0.3480,87.74,0.5727,82.51
56,0.3479,87.74,0.5048,83.67
57,0.3403,88.19,0.5151,83.46
58,0.3405,88.07,0.5500,82.67
59,0.3442,88.04,0.5570,82.84
60,0.3396,88.14,0.5272,83.15
61,0.3396,88.12,0.5146,83.48
62,0.3343,88.37,0.5425,82.67
63,0.3352,88.42,0.7194,78.67
64,0.3350,88.36,0.5617,82.37
65,0.3296,88.51,0.6588,79.38
66,0.3324,88.40,0.5584,82.13
67,0.3277,88.52,0.5149,83.09
68,0.3276,88.49,0.5864,81.31
69,0.3301,88.28,0.5470,82.72
70,0.3271,88.49,0.5063,84.06
71,0.3222,88.73,0.7431,77.03
72,0.3279,88.56,0.6289,80.96
73,0.3190,88.87,0.4450,85.54
74,0.3166,88.80,0.5514,82.89
75,0.3226,88.69,0.5452,82.99
76,0.3177,88.72,0.6164,81.53
77,0.3193,88.85,0.5095,83.99
78,0.3168,88.98,0.4841,84.56
79,0.3157,88.91,0.6171,81.63
80,0.3135,88.97,0.5796,81.88
81,0.2274,92.15,0.3441,89.06
82,0.1969,93.30,0.3466,89.14
83,0.1883,93.45,0.3465,89.10
84,0.1789,93.83,0.3473,89.08
85,0.1754,93.96,0.3474,89.21
86,0.1690,94.21,0.3495,89.20
87,0.1641,94.38,0.3546,89.20
88,0.1629,94.33,0.3554,89.23
89,0.1616,94.42,0.3503,89.56
90,0.1574,94.63,0.3527,89.22
91,0.1559,94.54,0.3516,89.37
92,0.1545,94.75,0.3515,89.13
93,0.1510,94.71,0.3660,88.92
94,0.1474,94.95,0.3585,89.22
95,0.1459,95.02,0.3601,89.50
96,0.1442,94.92,0.3608,89.26
97,0.1423,94.96,0.3606,89.32
98,0.1428,95.02,0.3658,89.20
99,0.1405,95.16,0.3664,89.14
100,0.1374,95.25,0.3747,89.08
101,0.1327,95.35,0.3771,89.24
102,0.1310,95.43,0.3819,89.05
103,0.1304,95.36,0.3782,89.18
104,0.1296,95.49,0.3805,88.77
105,0.1329,95.41,0.3720,89.36
106,0.1285,95.51,0.3776,89.20
107,0.1276,95.52,0.3830,89.16
108,0.1281,95.51,0.3751,89.31
109,0.1240,95.68,0.3721,89.27
110,0.1234,95.73,0.3897,88.83
111,0.1221,95.67,0.3920,88.74
112,0.1200,95.90,0.3953,88.77
113,0.1193,95.89,0.3952,89.05
114,0.1167,95.92,0.3944,88.97
115,0.1199,95.73,0.4151,88.64
