phase,epoch,train_loss,train_acc,test_loss,test_acc
one-shot,1,0.9511,75.69,1.2850,64.94
one-shot,2,0.6905,79.32,1.2748,65.50
one-shot,3,0.6326,80.51,1.2589,65.76
one-shot,4,0.5995,81.11,1.2609,65.47
one-shot,5,0.5792,81.50,1.2527,66.10
one-shot,6,0.5641,81.66,1.2503,65.82
one-shot,7,0.5498,81.94,1.2441,66.14
one-shot,8,0.5418,82.34,1.2389,65.98
one-shot,9,0.5354,82.22,1.2390,66.12
one-shot,10,0.5246,82.58,1.2515,66.17
one-shot,11,0.5200,82.57,1.2281,66.25
one-shot,12,0.5145,82.73,1.2389,66.03
one-shot,13,0.5119,82.87,1.2498,66.10
one-shot,14,0.5068,82.90,1.2413,66.35
one-shot,15,0.5039,82.97,1.2387,66.05
one-shot,16,0.5033,82.80,1.2395,66.07
one-shot,17,0.5009,82.94,1.2482,65.95
one-shot,18,0.4983,83.02,1.2460,66.11
one-shot,19,0.4939,83.27,1.2357,66.45
one-shot,20,0.4951,83.14,1.2462,66.23
one-shot,21,0.4916,83.29,1.2510,66.43
one-shot,22,0.4905,83.30,1.2386,66.38
one-shot,23,0.4879,83.30,1.2329,66.75
one-shot,24,0.4863,83.31,1.2413,66.26
one-shot,25,0.4859,83.51,1.2329,66.51
one-shot,26,0.4876,83.08,1.2330,66.43
one-shot,27,0.4852,83.28,1.2393,66.70
one-shot,28,0.4810,83.55,1.2443,66.22
one-shot,29,0.4844,83.27,1.2498,66.32
one-shot,30,0.4793,83.58,1.2418,66.50
one-shot,31,0.4825,83.49,1.2323,66.77
one-shot,32,0.4832,83.50,1.2440,66.41
one-shot,33,0.4802,83.56,1.2266,66.76
one-shot,34,0.4799,83.56,1.2437,66.42
one-shot,35,0.4761,83.68,1.2550,66.21
one-shot,36,0.4786,83.64,1.2351,66.60
one-shot,37,0.4763,83.68,1.2391,66.62
one-shot,38,0.4741,83.77,1.2536,66.44
one-shot,39,0.4763,83.71,1.2497,66.21
one-shot,40,0.4765,83.70,1.2313,66.74
one-shot,41,0.4754,83.66,1.2463,66.24
one-shot,42,0.4755,83.65,1.2341,66.69
one-shot,43,0.4769,83.62,1.2389,66.34
one-shot,44,0.4724,83.75,1.2418,66.64
one-shot,45,0.4747,83.69,1.2406,66.28
one-shot,46,0.4748,83.78,1.2346,66.62
one-shot,47,0.4725,83.68,1.2526,66.14
one-shot,48,0.4711,83.87,1.2400,66.34
one-shot,49,0.4714,83.85,1.2419,66.55
one-shot,50,0.4711,83.91,1.2414,66.56
one-shot,51,0.4718,83.86,1.2371,66.60
one-shot,52,0.4726,83.82,1.2483,66.52
one-shot,53,0.4689,83.79,1.2397,66.28
one-shot,54,0.4710,83.81,1.2413,66.77
one-shot,55,0.4706,83.83,1.2513,66.30
one-shot,56,0.4742,83.68,1.2457,66.60
one-shot,57,0.4676,83.88,1.2377,66.36
one-shot,58,0.4678,83.86,1.2448,66.76
one-shot,59,0.4692,83.97,1.2581,65.94
one-shot,60,0.4677,84.05,1.2446,66.34
one-shot,61,0.4694,83.82,1.2348,66.43
one-shot,62,0.4669,83.98,1.2519,66.28
one-shot,63,0.4664,83.83,1.2557,66.48
one-shot,64,0.4677,83.99,1.2450,66.55
one-shot,65,0.4647,83.96,1.2354,66.59
one-shot,66,0.4647,84.03,1.2427,66.36
one-shot,67,0.4662,83.97,1.2450,66.50
one-shot,68,0.4643,84.00,1.2320,66.22
one-shot,69,0.4632,84.14,1.2453,66.37
one-shot,70,0.4673,84.01,1.2452,66.30
one-shot,71,0.4634,84.10,1.2426,66.55
one-shot,72,0.4652,83.96,1.2339,66.88
one-shot,73,0.4651,84.23,1.2536,66.14
one-shot,74,0.4657,83.94,1.2466,66.30
one-shot,75,0.4657,83.77,1.2345,66.54
one-shot,76,0.4627,84.23,1.2402,66.38
one-shot,77,0.4628,84.20,1.2358,66.93
one-shot,78,0.4654,84.09,1.2347,66.56
one-shot,79,0.4649,83.87,1.2471,66.68
one-shot,80,0.4651,84.13,1.2400,66.39
one-shot,81,0.4658,84.04,1.2328,66.71
one-shot,82,0.4610,84.13,1.2373,66.61
one-shot,83,0.4639,83.95,1.2372,66.44
one-shot,84,0.4630,84.09,1.2477,66.61
one-shot,85,0.4649,84.16,1.2359,66.55
one-shot,86,0.4626,84.10,1.2372,66.66
one-shot,87,0.4608,84.35,1.2298,66.54
one-shot,88,0.4604,84.10,1.2455,66.42
one-shot,89,0.4596,84.03,1.2342,66.69
one-shot,90,0.4593,84.25,1.2423,66.30
one-shot,91,0.4605,84.33,1.2406,66.24
one-shot,92,0.4609,84.03,1.2394,66.73
one-shot,93,0.4614,83.94,1.2390,66.69
one-shot,94,0.4583,84.20,1.2401,66.92
