phase,epoch,train_loss,train_acc,test_loss,test_acc
search,1,1.7203,35.28,1.6017,41.74
search,2,1.2464,54.55,1.3816,52.16
search,3,0.9984,64.21,1.0937,60.42
search,4,0.8432,70.19,1.2005,62.35
search,5,0.7429,74.00,0.8637,70.40
search,6,0.6660,76.70,1.0561,66.11
search,7,0.6246,78.32,0.7127,75.79
search,8,0.5735,80.21,0.7045,76.18
search,9,0.5409,81.15,0.6753,77.26
search,10,0.5118,82.17,0.6635,77.91
finetune,1,1.5508,42.63,1.4701,46.40
finetune,2,1.2070,56.40,1.6799,45.12
finetune,3,1.1252,59.63,1.4169,53.58
finetune,4,1.0757,61.19,1.6598,48.72
finetune,5,1.0378,62.90,1.1469,59.08
finetune,6,1.0036,64.13,1.2946,55.95
finetune,7,0.9668,65.32,1.0949,61.53
finetune,8,0.9540,65.57,1.6688,48.79
finetune,9,0.9354,66.73,1.4178,57.00
finetune,10,0.9211,67.29,1.2998,57.14
finetune,11,0.9112,67.65,0.9957,65.35
finetune,12,0.8839,68.64,1.1644,59.51
finetune,13,0.8745,68.89,0.9411,67.03
finetune,14,0.8635,69.64,1.1811,61.10
finetune,15,0.8528,69.88,1.1853,61.71
finetune,16,0.8463,69.96,1.2059,61.14
finetune,17,0.8386,70.26,1.0705,64.22
finetune,18,0.8309,70.63,0.9827,67.23
finetune,19,0.8271,70.73,0.9803,66.26
finetune,20,0.8141,71.26,1.1330,63.01
finetune,21,0.8057,71.74,0.9129,67.92
finetune,22,0.8016,71.87,1.1378,63.25
finetune,23,0.8050,71.58,1.0395,65.74
finetune,24,0.7955,72.16,1.0813,64.35
finetune,25,0.7883,72.36,0.8881,69.71
finetune,26,0.7897,72.45,0.9557,68.74
finetune,27,0.7788,72.81,1.1407,63.97
finetune,28,0.7716,73.04,1.0912,62.44
finetune,29,0.7740,72.81,0.9345,69.10
finetune,30,0.7717,73.08,0.9872,66.99
finetune,31,0.7721,72.98,0.9370,68.45
finetune,32,0.7641,73.24,1.0101,66.68
finetune,33,0.7542,73.47,0.9297,69.09
finetune,34,0.7637,73.44,0.8558,70.48
finetune,35,0.7645,73.26,1.0089,65.89
finetune,36,0.7531,73.66,1.0581,66.34
finetune,37,0.7501,73.69,1.0488,67.04
finetune,38,0.7460,74.16,1.2931,62.91
finetune,39,0.7480,73.88,0.8891,70.22
finetune,40,0.7405,74.05,0.8843,70.00
finetune,41,0.7444,74.01,0.8323,71.47
finetune,42,0.7414,73.97,1.0159,68.22
finetune,43,0.7342,74.29,0.8783,70.10
finetune,44,0.7444,73.96,0.9292,68.88
finetune,45,0.7377,74.06,0.8606,71.16
finetune,46,0.7319,74.61,0.8826,69.68
finetune,47,0.7367,74.42,1.1332,64.41
finetune,48,0.7234,74.69,0.9309,69.83
finetune,49,0.7277,74.53,0.8519,71.04
finetune,50,0.7306,74.57,1.0232,67.16
