phase,epoch,train_loss,train_acc,test_loss,test_acc
search,1,1.8212,30.95,1.7441,33.76
search,2,1.4664,45.45,1.6091,43.22
search,3,1.2077,56.15,1.5478,48.82
search,4,1.0214,63.47,1.1640,61.29
search,5,0.8828,68.89,1.0187,65.80
search,6,0.7734,72.82,0.8012,72.46
search,7,0.6984,75.60,0.8792,69.64
search,8,0.6404,77.87,0.7377,75.78
search,9,0.5899,79.62,0.7352,75.03
search,10,0.5581,80.70,0.6915,77.24
finetune,1,0.9204,68.10,0.8674,70.66
finetune,2,0.7182,75.20,0.7715,73.70
finetune,3,0.6596,77.24,0.8314,71.85
finetune,4,0.6190,78.54,0.8048,74.19
finetune,5,0.5952,79.58,0.7049,76.36
finetune,6,0.5705,80.34,0.7779,74.52
finetune,7,0.5560,80.82,0.7341,75.93
finetune,8,0.5410,81.37,0.6711,78.25
finetune,9,0.5276,81.67,0.6398,78.49
finetune,10,0.5162,82.16,0.5881,79.94
finetune,11,0.5090,82.43,0.6751,78.10
finetune,12,0.4976,82.71,0.6882,77.71
finetune,13,0.4872,83.13,0.6608,78.04
finetune,14,0.4775,83.38,0.7256,77.35
finetune,15,0.4703,83.60,0.6210,80.18
finetune,16,0.4671,83.73,0.6085,80.27
finetune,17,0.4662,84.02,0.6440,79.08
finetune,18,0.4531,84.17,0.6967,78.59
finetune,19,0.4546,84.31,0.5912,80.43
finetune,20,0.4478,84.39,0.7007,78.48
finetune,21,0.4447,84.39,0.5593,80.89
finetune,22,0.4388,84.71,0.5858,81.12
finetune,23,0.4334,85.09,0.5736,81.62
finetune,24,0.4271,85.20,0.5693,81.93
finetune,25,0.4237,85.52,0.5517,81.52
finetune,26,0.4136,85.66,0.6005,80.98
finetune,27,0.4207,85.51,0.5975,80.83
finetune,28,0.4166,85.56,0.6955,78.45
finetune,29,0.4163,85.54,0.5504,81.80
finetune,30,0.4063,86.06,0.5074,82.90
finetune,31,0.4038,86.00,0.6467,78.89
finetune,32,0.4063,85.84,0.5059,83.61
finetune,33,0.4019,86.01,0.5900,80.88
finetune,34,0.4015,86.21,0.6388,78.93
finetune,35,0.3933,86.33,0.6271,80.22
finetune,36,0.3932,86.32,0.5134,83.08
finetune,37,0.3925,86.32,0.6579,79.73
finetune,38,0.3875,86.57,0.5966,81.12
finetune,39,0.3891,86.57,0.5157,83.12
finetune,40,0.3811,86.68,0.6555,79.65
finetune,41,0.3920,86.29,0.5333,82.85
finetune,42,0.3784,86.95,0.5984,80.89
finetune,43,0.3763,86.94,0.6247,81.52
finetune,44,0.3783,86.73,0.5180,82.95
finetune,45,0.3751,86.87,0.6943,78.25
finetune,46,0.3759,86.75,0.6488,80.50
finetune,47,0.3765,86.76,0.6433,80.34
finetune,48,0.3734,86.98,0.5383,82.66
finetune,49,0.3740,86.95,0.5740,81.80
finetune,50,0.3739,86.96,0.5390,82.97
finetune,51,0.3684,87.19,0.6031,81.13
finetune,52,0.3694,87.04,0.6403,79.86
finetune,53,0.3656,87.33,0.5407,82.22
finetune,54,0.3607,87.45,0.5642,82.49
finetune,55,0.3624,87.22,0.5392,82.90
finetune,56,0.3653,87.25,0.5734,82.01
finetune,57,0.3639,87.46,0.5771,82.25
finetune,58,0.3612,87.45,0.5496,82.29
finetune,59,0.3598,87.45,0.5389,82.91
finetune,60,0.3583,87.51,0.5790,81.78
finetune,61,0.3545,87.60,0.6281,80.42
finetune,62,0.3591,87.47,0.5798,82.13
finetune,63,0.3568,87.46,0.5497,81.91
finetune,64,0.3537,87.69,0.4947,84.27
finetune,65,0.3550,87.45,0.5503,82.15
