phase,epoch,train_loss,train_acc,test_loss,test_acc
dense_training,127,0.5482,84.22,1.1678,68.03
dense_training,128,0.5398,84.58,1.1747,67.79
dense_training,129,0.5388,84.46,1.1696,67.89
dense_training,130,0.5330,84.74,1.1743,67.67
dense_training,131,0.5306,84.71,1.1784,67.70
dense_training,132,0.5302,84.68,1.1795,67.76
dense_training,133,0.5261,84.82,1.1857,67.38
dense_training,134,0.5261,84.96,1.1782,67.79
dense_training,135,0.5175,85.30,1.1866,67.73
dense_training,136,0.5171,85.23,1.1831,67.79
dense_training,137,0.5141,85.18,1.1864,67.45
dense_training,138,0.5127,85.28,1.1931,67.52
dense_training,139,0.5103,85.46,1.1846,67.92
dense_training,140,0.5075,85.50,1.1974,67.57
dense_training,141,0.5037,85.68,1.1913,67.59
dense_training,142,0.5028,85.60,1.1952,67.67
dense_training,143,0.5002,85.57,1.1947,68.16
dense_training,144,0.4959,85.83,1.2024,67.67
dense_training,145,0.4958,85.73,1.1981,67.61
dense_training,146,0.4954,85.78,1.2004,67.47
dense_training,147,0.4914,85.88,1.2037,67.73
dense_training,148,0.4914,85.79,1.2084,67.49
dense_training,149,0.4882,85.88,1.2030,67.94
dense_training,150,0.4846,86.25,1.2072,67.59
dense_training,151,0.4868,85.91,1.2093,67.96
dense_training,152,0.4831,86.15,1.2167,67.57
dense_training,153,0.4861,85.92,1.2054,67.75
dense_training,154,0.4838,86.34,1.2210,67.42
dense_training,155,0.4832,85.98,1.2188,67.50
dense_training,156,0.4796,86.27,1.2189,67.67
dense_training,157,0.4716,86.58,1.2261,67.55
dense_training,158,0.4758,86.41,1.2200,67.17
dense_training,159,0.4761,86.49,1.2179,67.42
dense_training,160,0.4682,86.63,1.2303,67.44
