iteration,sparsity,remaining_weights,test_accuracy,test_loss,train_accuracy,train_loss
0,0.0000,1.0000,91.89,0.2827,99.03,0.0379
1,0.0689,0.9311,92.00,0.2796,99.11,0.0376
2,0.1330,0.8670,91.71,0.2940,98.97,0.0415
3,0.1927,0.8073,91.63,0.2856,98.76,0.0449
4,0.2483,0.7517,91.61,0.2809,98.70,0.0472
5,0.3000,0.7000,90.95,0.3049,98.46,0.0550
