phase,epoch,train_loss,train_acc,test_loss,test_acc
search,1,4.0686,6.96,4.0424,8.90
search,2,3.5475,14.62,3.4323,17.24
search,3,3.1839,20.84,3.3199,20.03
search,4,2.8645,26.83,3.0658,26.46
search,5,2.6044,32.29,2.7710,31.01
search,6,2.3989,36.48,2.5199,34.17
search,7,2.2299,39.78,2.6109,34.66
search,8,2.0866,43.30,2.2977,40.30
search,9,1.9789,45.59,2.0551,44.63
search,10,1.8832,47.98,2.2309,41.52
finetune,1,2.3771,38.10,2.3825,39.16
finetune,2,2.0171,45.15,2.4464,39.14
finetune,3,1.9229,47.40,2.4473,39.88
finetune,4,1.8460,49.04,2.1517,44.20
finetune,5,1.7807,50.55,2.0920,45.39
finetune,6,1.7378,51.53,2.0322,46.91
finetune,7,1.6933,52.61,2.1576,44.51
finetune,8,1.6593,53.38,2.0384,46.06
finetune,9,1.6165,54.78,1.8945,49.40
finetune,10,1.5899,55.19,2.0319,47.56
finetune,11,1.5662,55.95,2.0558,46.86
finetune,12,1.5263,56.84,1.9958,48.31
finetune,13,1.5093,57.42,2.0938,47.71
finetune,14,1.4875,57.96,1.8606,50.39
finetune,15,1.4722,58.08,1.9272,49.74
finetune,16,1.4529,58.66,1.8495,51.07
finetune,17,1.4264,59.53,1.9835,49.45
finetune,18,1.4076,59.58,1.8795,51.25
finetune,19,1.3900,60.27,2.0059,49.51
finetune,20,1.3772,60.70,1.9112,51.04
finetune,21,1.3688,60.75,1.9898,49.63
finetune,22,1.3518,61.27,1.8612,51.50
finetune,23,1.3411,61.47,1.7794,53.52
finetune,24,1.3332,61.66,1.9049,51.15
finetune,25,1.3065,62.33,1.8300,51.89
finetune,26,1.2978,62.43,1.9130,50.79
finetune,27,1.2976,62.58,1.9226,51.01
finetune,28,1.2801,63.04,1.9466,51.26
finetune,29,1.2660,63.28,1.8369,52.88
finetune,30,1.2605,63.14,1.8498,52.88
finetune,31,1.2521,63.68,1.9809,50.76
finetune,32,1.2445,63.74,1.8228,53.40
finetune,33,1.2402,63.91,1.7953,52.98
finetune,34,1.2271,64.22,1.8791,52.73
finetune,35,1.2185,64.53,1.8589,52.95
finetune,36,1.2116,64.66,1.8825,52.44
finetune,37,1.2018,64.84,1.8989,52.17
finetune,38,1.1886,65.09,1.8973,53.21
finetune,39,1.1821,65.35,1.7826,55.25
finetune,40,1.1745,65.67,1.9379,52.87
finetune,41,1.1803,65.44,1.8234,53.08
finetune,42,1.1586,65.97,1.7242,55.34
finetune,43,1.1605,65.75,1.7827,54.12
finetune,44,1.1520,66.25,1.8420,53.97
finetune,45,1.1452,66.39,1.8776,53.39
finetune,46,1.1431,66.45,1.8483,53.66
finetune,47,1.1316,66.66,1.7523,55.05
finetune,48,1.1338,66.68,1.7959,54.08
finetune,49,1.1296,66.67,1.9967,52.43
finetune,50,1.1212,66.97,1.8727,53.13
finetune,51,1.1227,66.77,1.7731,54.65
finetune,52,1.1159,67.21,1.9142,52.93
finetune,53,1.1116,67.06,1.7941,54.06
finetune,54,1.1088,67.16,1.8816,53.35
finetune,55,1.1001,67.28,1.8968,53.54
finetune,56,1.1010,67.23,1.8757,53.90
finetune,57,1.0993,67.44,1.9464,52.47
finetune,58,1.0869,67.75,1.9406,53.00
finetune,59,1.0872,67.74,1.9640,52.93
finetune,60,1.0789,68.04,1.8628,53.89
finetune,61,1.0777,68.07,2.1260,50.09
finetune,62,1.0794,67.89,1.8088,54.87
finetune,63,1.0766,68.04,1.9207,53.18
finetune,64,1.0611,68.42,1.8875,53.97
finetune,65,1.0648,68.29,1.7961,55.38
finetune,66,1.0580,68.37,1.8264,53.84
finetune,67,1.0594,68.62,1.7948,55.47
finetune,68,1.0556,68.52,1.9425,53.69
finetune,69,1.0487,68.73,1.8343,54.15
finetune,70,1.0510,68.62,1.7867,55.22
finetune,71,1.0469,68.73,1.9380,53.14
finetune,72,1.0414,68.62,1.9845,53.25
finetune,73,1.0346,69.25,1.9313,52.80
finetune,74,1.0366,68.94,1.9297,52.75
finetune,75,1.0338,69.04,1.8008,55.21
finetune,76,1.0280,69.23,1.7115,56.73
finetune,77,1.0290,69.20,1.8522,54.24
finetune,78,1.0361,68.78,2.1076,51.69
finetune,79,1.0203,69.50,1.8006,55.78
finetune,80,1.0261,69.32,1.8768,53.91
finetune,81,0.8383,75.11,1.4701,61.54
finetune,82,0.7693,77.11,1.4711,61.73
finetune,83,0.7507,77.88,1.4806,61.78
